0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = true, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_timeout = 0.000, provers = ["cvc5_proof"], slices = 192,
0.sledgehammer initialize  smt_proofs = true, spy = false, strict = false, timeout = 30.000, try0 =
0.sledgehammer initialize  false, type_enc = NONE, uncurried_aliases = NONE, verbose = true}
0.sledgehammer goal.using      7904ms Matrix_Tensor.Matrix_Tensor 908:31267  some (SH 7902ms, ATP 776ms): Try this: by (smt (cvc5) assms of_nat_eq_iff)
0.sledgehammer goal.by         3991ms Matrix_Tensor.Matrix_Tensor 908:31294  some (SH 3991ms, ATP 577ms): Try this: by (smt (cvc5))
0.sledgehammer goal.proof      7928ms Matrix_Tensor.Matrix_Tensor 914:31402  some (SH 7928ms, ATP 835ms): Try this: by (smt (cvc5) Suc_eq_plus1 assms(1,2) le_div_geq less_imp_le_nat)
0.sledgehammer goal.using      3082ms Matrix_Tensor.Matrix_Tensor 917:31443  some (SH 3082ms, ATP 119ms): Try this: by (smt (cvc5) assms(1) of_nat_0_less_iff)
0.sledgehammer goal.by         2797ms Matrix_Tensor.Matrix_Tensor 917:31475  some (SH 2796ms, ATP 117ms): Try this: by (smt (cvc5) of_nat_0_less_iff)
0.sledgehammer goal.using      3341ms Matrix_Tensor.Matrix_Tensor 919:31523  some (SH 3341ms, ATP 174ms): Try this: by (smt (cvc5) assms(2) of_nat_less_iff)
0.sledgehammer goal.by         2934ms Matrix_Tensor.Matrix_Tensor 919:31538  some (SH 2933ms, ATP 107ms): Try this: by (smt (cvc5) of_nat_less_iff)
0.sledgehammer goal.using      7728ms Matrix_Tensor.Matrix_Tensor 922:31653  some (SH 7727ms, ATP 686ms): Try this: by (smt (cvc5) div_add_self1)
0.sledgehammer goal.by         7435ms Matrix_Tensor.Matrix_Tensor 922:31676  some (SH 7434ms, ATP 658ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3653ms Matrix_Tensor.Matrix_Tensor 924:31758  some (SH 3652ms, ATP 616ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         7851ms Matrix_Tensor.Matrix_Tensor 927:31875  some (SH 7850ms, ATP 687ms): Try this: by (smt (cvc5) less_imp_le_nat of_nat_diff_if)
0.sledgehammer goal.by         4572ms Matrix_Tensor.Matrix_Tensor 929:31970  some (SH 4572ms, ATP 198ms): Try this: by (smt (cvc5) of_nat_1 of_nat_add)
0.sledgehammer goal.by         5076ms Matrix_Tensor.Matrix_Tensor 931:32046  some (SH 5075ms, ATP 185ms): Try this: by (smt (cvc5) Suc_eq_plus1 assms(1,2) le_div_geq less_imp_le_nat)
0.sledgehammer goal.by         4414ms Matrix_Tensor.Matrix_Tensor 933:32117  some (SH 4413ms, ATP 494ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         2041ms Matrix_Tensor.Matrix_Tensor 934:32145  some (SH 2040ms, ATP 284ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      7451ms Matrix_Tensor.Matrix_Tensor 939:32212  some (SH 7450ms, ATP 743ms): Try this: by (smt (cvc5) mod_add_self2)
0.sledgehammer goal.by         8175ms Matrix_Tensor.Matrix_Tensor 939:32233  some (SH 8174ms, ATP 1053ms): Try this: by (smt (cvc5) mod_add_self2)
0.sledgehammer goal.by         3192ms Matrix_Tensor.Matrix_Tensor 942:32297  some (SH 3191ms, ATP 579ms): Try this: by (smt (cvc5) zmod_int)
0.sledgehammer goal.using      7637ms Matrix_Tensor.Matrix_Tensor 947:32405  some (SH 7636ms, ATP 616ms): Try this: by (smt (cvc5) assms le_mod_geq less_imp_le_nat)
0.sledgehammer goal.by         3313ms Matrix_Tensor.Matrix_Tensor 947:32446  some (SH 3312ms, ATP 705ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      3857ms Matrix_Tensor.Matrix_Tensor 953:32520  some (SH 3856ms, ATP 1019ms): Try this: by (smt (cvc5) assms(1,2))
0.sledgehammer goal.by         3988ms Matrix_Tensor.Matrix_Tensor 953:32544  some (SH 3986ms, ATP 1135ms): Try this: by (smt (cvc5))
0.sledgehammer goal.apply     20266ms Matrix_Tensor.Matrix_Tensor 961:32752  timeout (SH 20264ms): Timed out
0.sledgehammer goal.proof     19336ms Matrix_Tensor.Matrix_Tensor 962:32770  timeout (SH 19335ms): Timed out
0.sledgehammer goal.by         4179ms Matrix_Tensor.Matrix_Tensor 965:32828  some (SH 4178ms, ATP 1753ms): Try this: by (smt (cvc5) list.size(3))
0.sledgehammer goal.using      3977ms Matrix_Tensor.Matrix_Tensor 967:32890  some (SH 3977ms, ATP 1588ms): Try this: by (smt (cvc5) calculation vec_vec_Tensor.simps(1))
0.sledgehammer goal.by         3816ms Matrix_Tensor.Matrix_Tensor 967:32920  some (SH 3815ms, ATP 1626ms): Try this: by (smt (cvc5) calculation)
0.sledgehammer goal.by         7116ms Matrix_Tensor.Matrix_Tensor 969:32991  some (SH 7115ms, ATP 1684ms): Try this: by (smt (cvc5) not_less_zero)
0.sledgehammer goal.by         4080ms Matrix_Tensor.Matrix_Tensor 971:33051  some (SH 4078ms, ATP 1187ms): Try this: by (smt (cvc5) vec_vec_Tensor.simps(1))
0.sledgehammer goal.by         3316ms Matrix_Tensor.Matrix_Tensor 975:33206  some (SH 3315ms, ATP 981ms): Try this: by (smt (cvc5) calculation(2))
0.sledgehammer goal.by         3607ms Matrix_Tensor.Matrix_Tensor 977:33240  some (SH 3607ms, ATP 1058ms): Try this: by (smt (cvc5) \<open>length (vec_vec_Tensor [] y) = 0\<close> calculation(1,2) lambda_zero)
0.sledgehammer goal.by         3562ms Matrix_Tensor.Matrix_Tensor 981:33350  some (SH 3562ms, ATP 1315ms): Try this: by (smt (cvc5) vec_vec_Tensor.simps(2))
0.sledgehammer goal.using      3346ms Matrix_Tensor.Matrix_Tensor 983:33417  some (SH 3346ms, ATP 1319ms): Try this: by (smt (cvc5) times_elements)
0.sledgehammer goal.by         3024ms Matrix_Tensor.Matrix_Tensor 983:33438  some (SH 3023ms, ATP 1455ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      3383ms Matrix_Tensor.Matrix_Tensor 987:33553  some (SH 3382ms, ATP 1380ms): Try this: by (smt (cvc5) vec_vec_Tensor_simpl)
0.sledgehammer goal.by         3061ms Matrix_Tensor.Matrix_Tensor 987:33580  some (SH 3061ms, ATP 1329ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      3418ms Matrix_Tensor.Matrix_Tensor 990:33684  some (SH 3418ms, ATP 1386ms): Try this: by (smt (cvc5) "2" "3")
0.sledgehammer goal.by         2974ms Matrix_Tensor.Matrix_Tensor 990:33720  some (SH 2973ms, ATP 1284ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3555ms Matrix_Tensor.Matrix_Tensor 992:33774  some (SH 3554ms, ATP 1213ms): Try this: by (smt (cvc5) length_greater_0_conv)
0.sledgehammer goal.by         7154ms Matrix_Tensor.Matrix_Tensor 994:33843  some (SH 7153ms, ATP 476ms): Try this: by (smt (cvc5) div_less)
0.sledgehammer goal.using      3471ms Matrix_Tensor.Matrix_Tensor 996:33923  some (SH 3470ms, ATP 1128ms): Try this: by (smt (cvc5) nth_Cons_0)
0.sledgehammer goal.by         3012ms Matrix_Tensor.Matrix_Tensor 996:33940  some (SH 3012ms, ATP 1102ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         7132ms Matrix_Tensor.Matrix_Tensor 998:34012  some (SH 7131ms, ATP 1036ms): Try this: by (smt (cvc5) mod_less)
0.sledgehammer goal.by         3394ms Matrix_Tensor.Matrix_Tensor 1003:34169  some (SH 3393ms, ATP 1088ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3332ms Matrix_Tensor.Matrix_Tensor 1011:34460  some (SH 3331ms, ATP 928ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         2703ms Matrix_Tensor.Matrix_Tensor 1013:34524  some (SH 2703ms, ATP 492ms): Try this: by (smt (cvc5) bot_nat_0.extremum)
0.sledgehammer goal.proof     21347ms Matrix_Tensor.Matrix_Tensor 1021:34811  some (SH 21347ms, ATP 2000ms): Try this: by (smt (cvc5) "4" Euclidean_Rings.div_eq_0_iff add_diff_cancel_left' append_simpl3 assms div_if less_imp_le_nat local.Cons mod_if not_less_iff_gr_or_eq nth_Cons' plus_1_eq_Suc vec_vec_Tensor_simpl2)
0.sledgehammer goal.using      2761ms Matrix_Tensor.Matrix_Tensor 1023:34849  some (SH 2761ms, ATP 412ms): Try this: by (smt (cvc5) "4" assms)
0.sledgehammer goal.by         2923ms Matrix_Tensor.Matrix_Tensor 1023:34861  some (SH 2922ms, ATP 1079ms): Try this: by (smt (cvc5) "4")
0.sledgehammer goal.using      2242ms Matrix_Tensor.Matrix_Tensor 1027:34997  some (SH 2242ms, ATP 382ms): Try this: by (smt (cvc5) nat_div)
0.sledgehammer goal.by         1893ms Matrix_Tensor.Matrix_Tensor 1027:35011  some (SH 1892ms, ATP 361ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         7074ms Matrix_Tensor.Matrix_Tensor 1029:35057  some (SH 7073ms, ATP 717ms): Try this: by (smt (cvc5) add_diff_cancel_right' add_eq_0_iff_both_eq_0 nth_Cons' zero_neq_one)
0.sledgehammer goal.by         7660ms Matrix_Tensor.Matrix_Tensor 1033:35208  some (SH 7659ms, ATP 1179ms): Try this: by (smt (cvc5) add.commute nth_Cons_Suc plus_1_eq_Suc)
0.sledgehammer goal.by         2811ms Matrix_Tensor.Matrix_Tensor 1038:35377  some (SH 2810ms, ATP 802ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      3334ms Matrix_Tensor.Matrix_Tensor 1042:35527  some (SH 3333ms, ATP 977ms): Try this: by (smt (cvc5) nat_mod)
0.sledgehammer goal.by         2796ms Matrix_Tensor.Matrix_Tensor 1042:35541  some (SH 2795ms, ATP 866ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3364ms Matrix_Tensor.Matrix_Tensor 1047:35721  some (SH 3364ms, ATP 792ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      6984ms Matrix_Tensor.Matrix_Tensor 1051:35891  some (SH 6983ms, ATP 1307ms): Try this: by (smt (cvc5) less_imp_le_nat vec_vec_Tensor_simpl2)
0.sledgehammer goal.by         3385ms Matrix_Tensor.Matrix_Tensor 1051:35920  some (SH 3384ms, ATP 1265ms): Try this: by (smt (cvc5) less_imp_le_nat)
0.sledgehammer goal.by        12314ms Matrix_Tensor.Matrix_Tensor 1055:36090  some (SH 12313ms, ATP 2342ms): Try this: by (smt (cvc5) "1" One_nat_def \<open>0 < length y\<close> add_diff_cancel_right' div_less_iff_less_mult less_diff_conv list.size(4))
0.sledgehammer goal.using      7011ms Matrix_Tensor.Matrix_Tensor 1062:36381  some (SH 7009ms, ATP 502ms): Try this: by (smt (cvc5) local.Cons)
0.sledgehammer goal.by         2733ms Matrix_Tensor.Matrix_Tensor 1062:36397  some (SH 2732ms, ATP 519ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3173ms Matrix_Tensor.Matrix_Tensor 1074:37092  some (SH 3173ms, ATP 866ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3286ms Matrix_Tensor.Matrix_Tensor 1082:37437  some (SH 3286ms, ATP 859ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3333ms Matrix_Tensor.Matrix_Tensor 1090:37749  some (SH 3333ms, ATP 1050ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3213ms Matrix_Tensor.Matrix_Tensor 1091:37780  some (SH 3212ms, ATP 1014ms): Try this: by (smt (cvc5))
0.sledgehammer goal.proof     39363ms Matrix_Tensor.Matrix_Tensor 1099:38126  some (SH 39362ms, ATP 1567ms): Try this: by (smt (cvc5) "1" add_diff_cancel_left' append_self_conv assms cancel_comm_monoid_add_class.diff_cancel cvc_arith_rewrite_defs(5) div_if length_greater_0_conv local.Cons mod_eq_self_iff_div_eq_0 mod_self nat_neq_iff nth_Cons' plus_1_eq_Suc preserving_length vec_vec_Tensor_length vec_vec_Tensor_simpl2)
0.sledgehammer goal.using      7736ms Matrix_Tensor.Matrix_Tensor 1103:38293  some (SH 7735ms, ATP 1561ms): Try this: by (smt (cvc5) cancel_comm_monoid_add_class.diff_cancel diff_is_0_eq vec_vec_Tensor_simpl2)
0.sledgehammer goal.by         6564ms Matrix_Tensor.Matrix_Tensor 1103:38323  some (SH 6563ms, ATP 1686ms): Try this: by (smt (cvc5) cancel_comm_monoid_add_class.diff_cancel diff_is_0_eq)
0.sledgehammer goal.by         3097ms Matrix_Tensor.Matrix_Tensor 1105:38396  some (SH 3097ms, ATP 919ms): Try this: by (smt (cvc5) mod_self)
0.sledgehammer goal.using      7532ms Matrix_Tensor.Matrix_Tensor 1107:38469  some (SH 7531ms, ATP 1127ms): Try this: by (smt (cvc5) assms div_self length_greater_0_conv list.size(3))
0.sledgehammer goal.by         1969ms Matrix_Tensor.Matrix_Tensor 1108:38525  some (SH 1968ms, ATP 386ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by        19814ms Matrix_Tensor.Matrix_Tensor 1112:38693  some (SH 19813ms, ATP 1641ms): Try this: by (smt (cvc5) "3" Euclidean_Rings.div_eq_0_iff One_nat_def add_diff_cancel_left' bot_nat_0.not_eq_extremum div_less_iff_less_mult length_0_conv length_Cons less_not_refl linorder_neqE_nat list.distinct(1) nonzero_mult_div_cancel_right plus_1_eq_Suc)
0.sledgehammer goal.by         3160ms Matrix_Tensor.Matrix_Tensor 1114:38742  some (SH 3158ms, ATP 613ms): Try this: by (smt (cvc5) One_nat_def nth_Cons_Suc)
0.sledgehammer goal.by         7540ms Matrix_Tensor.Matrix_Tensor 1117:38868  some (SH 7540ms, ATP 1091ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      3224ms Matrix_Tensor.Matrix_Tensor 1123:39194  some (SH 3224ms, ATP 969ms): Try this: by (smt (cvc5) local.Cons)
0.sledgehammer goal.by         2955ms Matrix_Tensor.Matrix_Tensor 1123:39210  some (SH 2954ms, ATP 1019ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         7943ms Matrix_Tensor.Matrix_Tensor 1133:39811  some (SH 7943ms, ATP 1527ms): Try this: by (smt (cvc5) "2" "3" bits_mod_div_trivial lambda_one mod_if modulo_nat_def)
0.sledgehammer goal.by         2750ms Matrix_Tensor.Matrix_Tensor 1135:39868  some (SH 2750ms, ATP 821ms): Try this: by (smt (cvc5) div_0)
0.sledgehammer goal.by         3005ms Matrix_Tensor.Matrix_Tensor 1137:39926  some (SH 3005ms, ATP 839ms): Try this: by (smt (cvc5) mod_0)
0.sledgehammer goal.using      7736ms Matrix_Tensor.Matrix_Tensor 1141:40104  some (SH 7735ms, ATP 1206ms): Try this: by (smt (cvc5) "7" "8" local.Cons)
0.sledgehammer goal.by         2917ms Matrix_Tensor.Matrix_Tensor 1141:40124  some (SH 2917ms, ATP 935ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3390ms Matrix_Tensor.Matrix_Tensor 1146:40383  some (SH 3390ms, ATP 1134ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         5381ms Matrix_Tensor.Matrix_Tensor 1153:40777  some (SH 5381ms, ATP 1079ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3592ms Matrix_Tensor.Matrix_Tensor 1154:40807  some (SH 3591ms, ATP 989ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         6986ms Matrix_Tensor.Matrix_Tensor 1163:41185  some (SH 6985ms, ATP 948ms): Try this: by (smt (cvc5) nat_less_le)
0.sledgehammer goal.by         4386ms Matrix_Tensor.Matrix_Tensor 1165:41248  some (SH 4385ms, ATP 582ms): Try this: by (smt (cvc5) nat_less_le nat_neq_iff order_refl)
0.sledgehammer goal.using      3845ms Matrix_Tensor.Matrix_Tensor 1172:41563  some (SH 3844ms, ATP 1092ms): Try this: by (smt (cvc5) "3" \<open>i < length y \<longrightarrow> local.times z y ! i = (z # zs) ! (i div length y) * y ! (i mod length y)\<close>)
0.sledgehammer goal.by         2990ms Matrix_Tensor.Matrix_Tensor 1172:41575  some (SH 2989ms, ATP 871ms): Try this: by (smt (cvc5) "3" \<open>i < length y \<longrightarrow> local.times z y ! i = (z # zs) ! (i div length y) * y ! (i mod length y)\<close>)
0.sledgehammer goal.by         3107ms Matrix_Tensor.Matrix_Tensor 1173:41616  some (SH 3107ms, ATP 730ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      6990ms Matrix_Tensor.Matrix_Tensor 1179:41729  some (SH 6990ms, ATP 95ms): Try this: by (smt (cvc5) nat_plus_as_int)
0.sledgehammer goal.by         2153ms Matrix_Tensor.Matrix_Tensor 1179:41754  some (SH 2152ms, ATP 79ms): Try this: by (smt (cvc5))
0.sledgehammer goal.proof      6815ms Matrix_Tensor.Matrix_Tensor 1182:41823  some (SH 6815ms, ATP 568ms): Try this: by (smt (cvc5) Int.nat_int Suc_eq_plus1 Suc_nat_eq_nat_zadd1 of_nat_0_less_iff)
0.sledgehammer goal.by         2181ms Matrix_Tensor.Matrix_Tensor 1184:41858  some (SH 2181ms, ATP 387ms): Try this: by (smt (cvc5) nat_one_as_int of_nat_1)
0.sledgehammer goal.by         2620ms Matrix_Tensor.Matrix_Tensor 1186:41890  some (SH 2620ms, ATP 348ms): Try this: by (smt (cvc5) of_nat_1)
0.sledgehammer goal.by         2141ms Matrix_Tensor.Matrix_Tensor 1189:42002  some (SH 2141ms, ATP 70ms): Try this: by (smt (cvc5) \<open>1 = nat (int 1)\<close>)
0.sledgehammer goal.using      6932ms Matrix_Tensor.Matrix_Tensor 1193:42164  some (SH 6931ms, ATP 658ms): Try this: by (smt (cvc5) H1'(2) nat_add_distrib nat_one_as_int of_nat_0_less_iff)
0.sledgehammer goal.by         6560ms Matrix_Tensor.Matrix_Tensor 1193:42189  some (SH 6559ms, ATP 111ms): Try this: by (smt (cvc5) nat_add_distrib not_int_zless_negative of_nat_0_less_iff)
0.sledgehammer goal.by         2009ms Matrix_Tensor.Matrix_Tensor 1195:42276  some (SH 2008ms, ATP 248ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         2030ms Matrix_Tensor.Matrix_Tensor 1197:42353  some (SH 2029ms, ATP 292ms): Try this: by (smt (cvc5) H1'(2) nat_one_as_int)
0.sledgehammer goal.by         2245ms Matrix_Tensor.Matrix_Tensor 1199:42416  some (SH 2244ms, ATP 321ms): Try this: by (smt (cvc5) Int.nat_int)
0.sledgehammer goal.by         2201ms Matrix_Tensor.Matrix_Tensor 1201:42484  some (SH 2200ms, ATP 336ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         2788ms Matrix_Tensor.Matrix_Tensor 1202:42511  some (SH 2787ms, ATP 327ms): Try this: by (smt (cvc5))
0.sledgehammer goal.proof      7068ms Matrix_Tensor.Matrix_Tensor 1206:42592  some (SH 7068ms, ATP 778ms): Try this: by (smt (cvc5) Int.nat_int Suc_nat_eq_nat_zadd1 nth_Cons_Suc of_nat_0_less_iff)
0.sledgehammer goal.by         3943ms Matrix_Tensor.Matrix_Tensor 1209:42645  some (SH 3943ms, ATP 151ms): Try this: by (smt (cvc5) add_diff_cancel_right' add_eq_0_iff_both_eq_0 nth_Cons' zero_neq_one)
0.sledgehammer goal.by         6123ms Matrix_Tensor.Matrix_Tensor 1211:42703  some (SH 6122ms, ATP 203ms): Try this: by (smt (cvc5) Int.nat_int add_diff_cancel_right' add_eq_0_iff_both_eq_0 int_nat_equiv not_int_zless_negative of_nat_0_less_iff zero_neq_one)
0.sledgehammer goal.by         2162ms Matrix_Tensor.Matrix_Tensor 1214:42813  some (SH 2161ms, ATP 68ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      3030ms Matrix_Tensor.Matrix_Tensor 1216:42882  some (SH 3030ms, ATP 477ms): Try this: by (smt (cvc5) int_nat_equiv)
0.sledgehammer goal.by         2273ms Matrix_Tensor.Matrix_Tensor 1216:42903  some (SH 2273ms, ATP 439ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      7302ms Matrix_Tensor.Matrix_Tensor 1218:42980  some (SH 7301ms, ATP 846ms): Try this: by (smt (cvc5) Int.nat_int Suc_nat_eq_nat_zadd1 nth_Cons_Suc of_nat_0_less_iff)
0.sledgehammer goal.by         6658ms Matrix_Tensor.Matrix_Tensor 1218:43026  some (SH 6657ms, ATP 663ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         2467ms Matrix_Tensor.Matrix_Tensor 1219:43062  some (SH 2466ms, ATP 328ms): Try this: by (smt (cvc5))
0.sledgehammer goal.proof     14521ms Matrix_Tensor.Matrix_Tensor 1228:43209  some (SH 14521ms, ATP 5425ms): Try this: by (smt (cvc5) list.distinct(1) list.sel(1) list.set_intros(1,2) mat_def row_length_def vec_def)
0.sledgehammer goal.by         4591ms Matrix_Tensor.Matrix_Tensor 1231:43335  some (SH 4591ms, ATP 1264ms): Try this: by (smt (cvc5) list.set_intros(1,2))
0.sledgehammer goal.using      4148ms Matrix_Tensor.Matrix_Tensor 1235:43503  some (SH 4147ms, ATP 1382ms): Try this: by (smt (cvc5) mat_def)
0.sledgehammer goal.by         3201ms Matrix_Tensor.Matrix_Tensor 1235:43517  some (SH 3201ms, ATP 1314ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3931ms Matrix_Tensor.Matrix_Tensor 1239:43702  some (SH 3930ms, ATP 1229ms): Try this: by (smt (cvc5) calculation(2))
0.sledgehammer goal.using      5386ms Matrix_Tensor.Matrix_Tensor 1242:43870  some (SH 5385ms, ATP 1439ms): Try this: by (smt (cvc5) list.set_intros(1,2) vec_def)
0.sledgehammer goal.by         4518ms Matrix_Tensor.Matrix_Tensor 1242:43884  some (SH 4517ms, ATP 1346ms): Try this: by (smt (cvc5) list.set_intros(1,2))
0.sledgehammer goal.using      5285ms Matrix_Tensor.Matrix_Tensor 1246:44083  some (SH 5284ms, ATP 2180ms): Try this: by (smt (cvc5) list.distinct(1) list.sel(1) row_length_def)
0.sledgehammer goal.by         5132ms Matrix_Tensor.Matrix_Tensor 1246:44104  some (SH 5131ms, ATP 2508ms): Try this: by (smt (cvc5) list.distinct(1) list.sel(1))
0.sledgehammer goal.by         3659ms Matrix_Tensor.Matrix_Tensor 1247:44131  some (SH 3659ms, ATP 1507ms): Try this: by (smt (cvc5))
0.sledgehammer goal.apply     18345ms Matrix_Tensor.Matrix_Tensor 1260:44524  timeout (SH 18344ms): Timed out
0.sledgehammer goal.apply     17925ms Matrix_Tensor.Matrix_Tensor 1261:44542  timeout (SH 17917ms): Timed out
0.sledgehammer goal.proof     17830ms Matrix_Tensor.Matrix_Tensor 1262:44560  timeout (SH 17830ms): Timed out
0.sledgehammer goal.using      3846ms Matrix_Tensor.Matrix_Tensor 1265:44623  some (SH 3845ms, ATP 1348ms): Try this: by (smt (cvc5) row_length_Nil)
0.sledgehammer goal.by         3271ms Matrix_Tensor.Matrix_Tensor 1265:44644  some (SH 3270ms, ATP 1443ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3108ms Matrix_Tensor.Matrix_Tensor 1268:44718  some (SH 3108ms, ATP 1021ms): Try this: by (smt (cvc5) mult_0_right)
0.sledgehammer goal.by         3694ms Matrix_Tensor.Matrix_Tensor 1271:44822  some (SH 3693ms, ATP 1313ms): Try this: by (smt (cvc5) not_less0)
0.sledgehammer goal.by         4039ms Matrix_Tensor.Matrix_Tensor 1273:44882  some (SH 4037ms, ATP 1157ms): Try this: by (smt (cvc5) vec_mat_Tensor.simps(1))
0.sledgehammer goal.by         2982ms Matrix_Tensor.Matrix_Tensor 1277:45116  some (SH 2981ms, ATP 1124ms): Try this: by (smt (cvc5) calculation(1))
0.sledgehammer goal.by         3590ms Matrix_Tensor.Matrix_Tensor 1279:45156  some (SH 3590ms, ATP 985ms): Try this: by (smt (cvc5))
0.sledgehammer goal.proof     17978ms Matrix_Tensor.Matrix_Tensor 1289:45506  timeout (SH 17977ms): Timed out
0.sledgehammer goal.using      4893ms Matrix_Tensor.Matrix_Tensor 1292:45579  some (SH 4892ms, ATP 1681ms): Try this: by (smt (cvc5) list.sel(1) list.size(3,3) row_length_def)
0.sledgehammer goal.by         7113ms Matrix_Tensor.Matrix_Tensor 1292:45600  some (SH 7112ms, ATP 1956ms): Try this: by (smt (cvc5) list.sel(1) list.size(3,3))
0.sledgehammer goal.by         3595ms Matrix_Tensor.Matrix_Tensor 1294:45673  some (SH 3594ms, ATP 1488ms): Try this: by (smt (cvc5) mult_is_0)
0.sledgehammer goal.by         3633ms Matrix_Tensor.Matrix_Tensor 1297:45795  some (SH 3633ms, ATP 1329ms): Try this: by (smt (cvc5) not_less0)
0.sledgehammer goal.using      3281ms Matrix_Tensor.Matrix_Tensor 1305:46178  some (SH 3281ms, ATP 974ms): Try this: by (smt (cvc5) calculation)
0.sledgehammer goal.by         2880ms Matrix_Tensor.Matrix_Tensor 1305:46196  some (SH 2880ms, ATP 932ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      7263ms Matrix_Tensor.Matrix_Tensor 1306:46228  some (SH 7262ms, ATP 1168ms): Try this: by (smt (cvc5) calculation local.Nil)
0.sledgehammer goal.by         3152ms Matrix_Tensor.Matrix_Tensor 1306:46259  some (SH 3151ms, ATP 1036ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         5331ms Matrix_Tensor.Matrix_Tensor 1309:46333  some (SH 5330ms, ATP 1948ms): Try this: by (smt (cvc5) add_diff_cancel_right' add_eq_0_iff_both_eq_0 nth_Cons' zero_neq_one)
0.sledgehammer goal.using      3888ms Matrix_Tensor.Matrix_Tensor 1316:46673  some (SH 3888ms, ATP 1193ms): Try this: by (smt (cvc5) Cons.hyps)
0.sledgehammer goal.by         3233ms Matrix_Tensor.Matrix_Tensor 1316:46689  some (SH 3233ms, ATP 1206ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      5480ms Matrix_Tensor.Matrix_Tensor 1318:46755  some (SH 5479ms, ATP 1330ms): Try this: by (smt (cvc5) list.distinct(1) list.sel(1) row_length_def)
0.sledgehammer goal.by         4203ms Matrix_Tensor.Matrix_Tensor 1318:46776  some (SH 4203ms, ATP 1356ms): Try this: by (smt (cvc5) list.distinct(1) list.sel(1))
0.sledgehammer goal.by         3543ms Matrix_Tensor.Matrix_Tensor 1321:46910  some (SH 3542ms, ATP 1122ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      3894ms Matrix_Tensor.Matrix_Tensor 1323:46948  some (SH 3893ms, ATP 1146ms): Try this: by (smt (cvc5) list.distinct(1) local.Cons)
0.sledgehammer goal.by         3151ms Matrix_Tensor.Matrix_Tensor 1323:46959  some (SH 3151ms, ATP 1084ms): Try this: by (smt (cvc5) list.distinct(1))
0.sledgehammer goal.using      8817ms Matrix_Tensor.Matrix_Tensor 1329:47229  some (SH 8816ms, ATP 2546ms): Try this: by (smt (cvc5) mult.commute vec_vec_Tensor_elements)
0.sledgehammer goal.by         3697ms Matrix_Tensor.Matrix_Tensor 1330:47293  some (SH 3696ms, ATP 1464ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      5303ms Matrix_Tensor.Matrix_Tensor 1332:47418  some (SH 5302ms, ATP 1275ms): Try this: by (smt (cvc5) nth_Cons_0 vec_mat_Tensor.simps(2))
