0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = [], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 30.000, try0 = true, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.by            0ms Ordered_Resolution_Prover.FO_Ordered_Resolution 43:1692  
0.sledgehammer goal.by        41438ms Ordered_Resolution_Prover.FO_Ordered_Resolution 434:16098  some (SH 41438ms, ATP 107ms): Try this: by (smt (z3) the_equality) (756 ms)
0.sledgehammer goal.unfolding 29772ms Ordered_Resolution_Prover.FO_Ordered_Resolution 437:16179  timeout (SH 29772ms): Timed out
0.sledgehammer goal.using     242243ms Ordered_Resolution_Prover.FO_Ordered_Resolution 437:16209  some (SH 242242ms, ATP 2413ms): Try this: by (smt (cvc5, trigger_relev) Max_ge cas_sub da_in fin_cc finite_Un finite_imageI finite_insert image_eqI in_listsI mem_Collect_eq multiset.set_finite ord_resolve_rename_max_side_prems order_trans res_e set_mset_empty subset_iff) (1.0 s)
0.sledgehammer goal.by        225425ms Ordered_Resolution_Prover.FO_Ordered_Resolution 439:16302  some (SH 225425ms, ATP 1935ms): Try this: by (smt (z3) Max_ge finite_Un finite_imageI finite_insert image_eqI in_listsI mem_Collect_eq multiset.set_finite order_trans set_mset_empty subset_iff) (689 ms)
0.sledgehammer goal.using     35102ms Ordered_Resolution_Prover.FO_Ordered_Resolution 442:16372  timeout (SH 35101ms): Timed out
0.sledgehammer goal.proof     35649ms Ordered_Resolution_Prover.FO_Ordered_Resolution 443:16392  timeout (SH 35648ms): Timed out
0.sledgehammer goal.unfolding 36317ms Ordered_Resolution_Prover.FO_Ordered_Resolution 449:16668  timeout (SH 36317ms): Timed out
0.sledgehammer goal.proof     34785ms Ordered_Resolution_Prover.FO_Ordered_Resolution 450:16696  timeout (SH 34785ms): Timed out
0.sledgehammer goal.unfolding 35317ms Ordered_Resolution_Prover.FO_Ordered_Resolution 452:16782  timeout (SH 35317ms): Timed out
0.sledgehammer goal.proof     31585ms Ordered_Resolution_Prover.FO_Ordered_Resolution 453:16821  timeout (SH 31585ms): Timed out
0.sledgehammer goal.by         8123ms Ordered_Resolution_Prover.FO_Ordered_Resolution 459:17012  some (SH 8123ms, ATP 1119ms): Try this: by (metis in_set_conv_nth len_aas) (41 ms)
0.sledgehammer goal.using     14797ms Ordered_Resolution_Prover.FO_Ordered_Resolution 462:17109  some (SH 14797ms, ATP 434ms): Try this: by (metis cas_sub i_lt in_mono len_cas nth_mem) (24 ms)
0.sledgehammer goal.by         4833ms Ordered_Resolution_Prover.FO_Ordered_Resolution 462:17144  some (SH 4833ms, ATP 456ms): Try this: by blast (4 ms)
0.sledgehammer goal.using      6429ms Ordered_Resolution_Prover.FO_Ordered_Resolution 465:17222  some (SH 6429ms, ATP 985ms): Try this: using aa aas_sub i_lt by blast (0.6 ms)
0.sledgehammer goal.by         4419ms Ordered_Resolution_Prover.FO_Ordered_Resolution 465:17244  some (SH 4419ms, ATP 830ms): Try this: by blast (1 ms)
0.sledgehammer goal.by        10772ms Ordered_Resolution_Prover.FO_Ordered_Resolution 467:17327  some (SH 10771ms, ATP 731ms): Try this: by (metis atms_of_poss lits_subseteq_imp_atms_subseteq set_mset_mono) (18 ms)
0.sledgehammer goal.unfolding 30337ms Ordered_Resolution_Prover.FO_Ordered_Resolution 469:17458  some (SH 30337ms, ATP 606ms): Try this: using \<open>all_AA \<equiv> \<Union> (atms_of ` (CC \<union> {C}))\<close> casi_in by blast (1 ms)
0.sledgehammer goal.using     12513ms Ordered_Resolution_Prover.FO_Ordered_Resolution 469:17479  some (SH 12512ms, ATP 423ms): Try this: using casi_in by blast (1 ms)
0.sledgehammer goal.by        10987ms Ordered_Resolution_Prover.FO_Ordered_Resolution 469:17493  some (SH 10987ms, ATP 435ms): Try this: by blast (2 ms)
0.sledgehammer goal.by         5002ms Ordered_Resolution_Prover.FO_Ordered_Resolution 474:17641  some (SH 5002ms, ATP 842ms): Try this: by simp (0.9 ms)
0.sledgehammer goal.by         9255ms Ordered_Resolution_Prover.FO_Ordered_Resolution 476:17710  some (SH 9255ms, ATP 521ms): Try this: by (meson pos_aa_sub size_mset_mono) (9 ms)
0.sledgehammer goal.unfolding 42433ms Ordered_Resolution_Prover.FO_Ordered_Resolution 478:17804  some (SH 42432ms, ATP 987ms): Try this: by (metis Max_ge Un_insert_right casi_in fin_cc finite_imageI finite_insert image_eqI max_ary_def sup_bot.right_neutral) (87 ms)
0.sledgehammer goal.using     17651ms Ordered_Resolution_Prover.FO_Ordered_Resolution 478:17826  some (SH 17651ms, ATP 452ms): Try this: by (metis Max_ge casi_in fin_cc finite_Un finite_imageI finite_insert image_eqI multiset.set_finite set_mset_empty) (75 ms)
0.sledgehammer goal.by        15747ms Ordered_Resolution_Prover.FO_Ordered_Resolution 478:17847  some (SH 15747ms, ATP 416ms): Try this: by (meson ID.set_finite Max_ge finite_UnI finite_imageI image_eqI) (27 ms)
0.sledgehammer goal.using     25861ms Ordered_Resolution_Prover.FO_Ordered_Resolution 485:18040  some (SH 25860ms, ATP 678ms): Try this: using aa_sub by fastforce (2 ms)
0.sledgehammer goal.by         9697ms Ordered_Resolution_Prover.FO_Ordered_Resolution 485:18053  some (SH 9697ms, ATP 668ms): Try this: by fastforce (4 ms)
0.sledgehammer goal.using      9769ms Ordered_Resolution_Prover.FO_Ordered_Resolution 487:18129  some (SH 9769ms, ATP 488ms): Try this: by (simp add: sz_aa) (0.4 ms)
0.sledgehammer goal.by         4153ms Ordered_Resolution_Prover.FO_Ordered_Resolution 487:18141  some (SH 4153ms, ATP 359ms): Try this: by fastforce (0.9 ms)
0.sledgehammer goal.by         6316ms Ordered_Resolution_Prover.FO_Ordered_Resolution 489:18210  some (SH 6316ms, ATP 413ms): Try this: by simp (1 ms)
0.sledgehammer goal.by         5024ms Ordered_Resolution_Prover.FO_Ordered_Resolution 491:18326  some (SH 5024ms, ATP 377ms): Try this: by blast (2 ms)
0.sledgehammer goal.unfolding  5040ms Ordered_Resolution_Prover.FO_Ordered_Resolution 495:18422  some (SH 5040ms, ATP 1115ms): Try this: using len_aas len_as by argo (1 ms)
0.sledgehammer goal.using     16669ms Ordered_Resolution_Prover.FO_Ordered_Resolution 497:18500  some (SH 16669ms, ATP 474ms): Try this: by (metis FO_resolution.ord_resolve_rename_max_side_prems FO_resolution_axioms len_as len_cas res_e) (16 ms)
0.sledgehammer goal.by         6830ms Ordered_Resolution_Prover.FO_Ordered_Resolution 497:18528  some (SH 6830ms, ATP 571ms): Try this: by fastforce (24 ms)
0.sledgehammer goal.unfolding 31904ms Ordered_Resolution_Prover.FO_Ordered_Resolution 499:18591  some (SH 31903ms, ATP 454ms): Try this: by (metis ID.set_finite Max_ge da_in fin_cc finite_UnI finite_imageI image_eqI max_ary_def) (47 ms)
0.sledgehammer goal.using     18682ms Ordered_Resolution_Prover.FO_Ordered_Resolution 499:18613  some (SH 18682ms, ATP 457ms): Try this: by (meson ID.set_finite Max_ge da_in fin_cc finite_UnI finite_imageI image_eqI) (24 ms)
0.sledgehammer goal.by        16088ms Ordered_Resolution_Prover.FO_Ordered_Resolution 499:18632  some (SH 16088ms, ATP 436ms): Try this: by (meson ID.set_finite Max_ge finite_UnI finite_imageI image_eqI) (27 ms)
0.sledgehammer goal.unfolding 34549ms Ordered_Resolution_Prover.FO_Ordered_Resolution 506:18768  timeout (SH 34549ms): Timed out
0.sledgehammer goal.proof     36749ms Ordered_Resolution_Prover.FO_Ordered_Resolution 507:18793  timeout (SH 36749ms): Timed out
0.sledgehammer goal.using     72222ms Ordered_Resolution_Prover.FO_Ordered_Resolution 509:18871  some (SH 72222ms, ATP 3880ms): Try this: by (smt (cvc5) image_eqI in_mono multiset.set_map neg_lit_in_atms_of ord_resolve_rename.simps res_e set_mset_mono set_mset_mset subsetI)
0.sledgehammer goal.by        51146ms Ordered_Resolution_Prover.FO_Ordered_Resolution 510:18932  some (SH 51146ms, ATP 1312ms): Try this: by (smt (z3) image_eqI multiset.set_map neg_lit_in_atms_of set_mset_mono set_mset_mset subset_eq) (463 ms)
0.sledgehammer goal.unfolding 14140ms Ordered_Resolution_Prover.FO_Ordered_Resolution 512:19061  some (SH 14140ms, ATP 513ms): Try this: using \<open>all_AA \<equiv> \<Union> (atms_of ` (CC \<union> {C}))\<close> da_in by blast (1 ms)
0.sledgehammer goal.using     11363ms Ordered_Resolution_Prover.FO_Ordered_Resolution 512:19082  some (SH 11363ms, ATP 421ms): Try this: using da_in by blast (1 ms)
0.sledgehammer goal.by         9931ms Ordered_Resolution_Prover.FO_Ordered_Resolution 512:19094  some (SH 9931ms, ATP 413ms): Try this: by blast (2 ms)
0.sledgehammer goal.unfolding  6589ms Ordered_Resolution_Prover.FO_Ordered_Resolution 514:19158  some (SH 6589ms, ATP 1179ms): Try this: by blast (1 ms)
0.sledgehammer goal.by         4625ms Ordered_Resolution_Prover.FO_Ordered_Resolution 514:19181  some (SH 4625ms, ATP 539ms): Try this: by blast (0.3 ms)
0.sledgehammer goal.using     14487ms Ordered_Resolution_Prover.FO_Ordered_Resolution 517:19251  some (SH 14487ms, ATP 1312ms): Try this: by (metis FO_resolution.ord_resolve_rename_max_side_prems FO_resolution_axioms ord_resolve_rename.simps res_e) (70 ms)
0.sledgehammer goal.by         7177ms Ordered_Resolution_Prover.FO_Ordered_Resolution 518:19358  some (SH 7177ms, ATP 1385ms): Try this: by presburger (42 ms)
0.sledgehammer goal.unfolding 19080ms Ordered_Resolution_Prover.FO_Ordered_Resolution 520:19418  some (SH 19080ms, ATP 443ms): Try this: by (metis ID.set_finite Max_ge da_in fin_cc finite_UnI finite_imageI image_eqI max_ary_def) (53 ms)
0.sledgehammer goal.using     21027ms Ordered_Resolution_Prover.FO_Ordered_Resolution 520:19440  some (SH 21027ms, ATP 433ms): Try this: by (meson ID.set_finite Max_ge da_in fin_cc finite_UnI finite_imageI image_eqI) (29 ms)
0.sledgehammer goal.by        16034ms Ordered_Resolution_Prover.FO_Ordered_Resolution 520:19459  some (SH 16034ms, ATP 416ms): Try this: by (meson ID.set_finite Max_ge finite_UnI finite_imageI image_eqI) (26 ms)
0.sledgehammer goal.by        36078ms Ordered_Resolution_Prover.FO_Ordered_Resolution 527:19582  some (SH 36078ms, ATP 1409ms): Try this: by (smt (z3) Collect_mono_iff insert_subset le_sup_iff) (1.5 s)
0.sledgehammer goal.unfolding 35735ms Ordered_Resolution_Prover.FO_Ordered_Resolution 530:19675  timeout (SH 35735ms): Timed out
0.sledgehammer goal.by        66367ms Ordered_Resolution_Prover.FO_Ordered_Resolution 530:19717  some (SH 66367ms, ATP 1740ms): Try this: by force (51 ms)
0.sledgehammer goal.unfolding 35615ms Ordered_Resolution_Prover.FO_Ordered_Resolution 532:19752  timeout (SH 35615ms): Timed out
0.sledgehammer goal.by        35095ms Ordered_Resolution_Prover.FO_Ordered_Resolution 533:19834  timeout (SH 35095ms): Timed out
0.sledgehammer goal.unfolding 177157ms Ordered_Resolution_Prover.FO_Ordered_Resolution 538:20013  timeout (SH 177157ms):
0.sledgehammer goal.using     41672ms Ordered_Resolution_Prover.FO_Ordered_Resolution 540:20138  some (SH 41672ms, ATP 1414ms): Try this: using ord_resolve_rename_empty_main_prem by fastforce (15 ms)
0.sledgehammer goal.by        41323ms Ordered_Resolution_Prover.FO_Ordered_Resolution 540:20179  some (SH 41323ms, ATP 2085ms): Try this: by fastforce (8 ms)
0.sledgehammer goal.by         4725ms Ordered_Resolution_Prover.FO_Ordered_Resolution 555:20395  some (SH 4725ms, ATP 589ms): Try this: using local.select by blast (0.7 ms)
0.sledgehammer goal.proof     35372ms Ordered_Resolution_Prover.FO_Ordered_Resolution 568:20773  timeout (SH 35372ms): Timed out
0.sledgehammer goal.by        35532ms Ordered_Resolution_Prover.FO_Ordered_Resolution 570:20937  timeout (SH 35532ms): Timed out
0.sledgehammer goal.unfolding  9104ms Ordered_Resolution_Prover.FO_Ordered_Resolution 574:21076  some (SH 9104ms, ATP 441ms): Try this: using S_M_def by force (2 ms)
0.sledgehammer goal.by         4408ms Ordered_Resolution_Prover.FO_Ordered_Resolution 574:21094  some (SH 4408ms, ATP 395ms): Try this: by argo (2 ms)
0.sledgehammer goal.by        28889ms Ordered_Resolution_Prover.FO_Ordered_Resolution 577:21146  some (SH 28889ms, ATP 846ms): Try this: by (metis (lifting) FO_resolution.S_M_grounding_of_clss FO_resolution_axioms S_M_def S_selects_subseteq selection_axioms subst_cls_mono_mset) (836 ms)
0.sledgehammer goal.by        74265ms Ordered_Resolution_Prover.FO_Ordered_Resolution 580:21299  some (SH 74265ms, ATP 233ms): Try this: by (metis (no_types, lifting) FO_resolution.S_M_grounding_of_clss FO_resolution_axioms FO_resolution_def Melem_subst_cls S_M_def S_selects_neg_lits mgu_def selection_axioms substitution.subst_lit_is_neg substitution_renamings_def) (598 ms)
0.sledgehammer goal.using     35739ms Ordered_Resolution_Prover.FO_Ordered_Resolution 597:21676  timeout (SH 35739ms): Timed out
0.sledgehammer goal.proof     122910ms Ordered_Resolution_Prover.FO_Ordered_Resolution 598:21688  some (SH 122910ms, ATP 9950ms): Try this: by (smt (cvc5) gr_cas gr_da is_ground_cls_list_is_ground_cls_sum_list is_ground_cls_mono is_ground_cls_union is_ground_subst_cls mset_subset_eq_add_left ord_resolve.simps subset_mset.add_mono subseteq_list_Union_mset sum_mset_sum_list)
0.sledgehammer goal.using      8183ms Ordered_Resolution_Prover.FO_Ordered_Resolution 603:21979  some (SH 8183ms, ATP 761ms): Try this: by (metis mset_subset_eq_add_left subseteq_list_Union_mset) (125 ms)
0.sledgehammer goal.by         7342ms Ordered_Resolution_Prover.FO_Ordered_Resolution 603:22025  some (SH 7342ms, ATP 826ms): Try this: by (metis mset_subset_eq_add_left) (134 ms)
0.sledgehammer goal.using      4431ms Ordered_Resolution_Prover.FO_Ordered_Resolution 605:22096  some (SH 4431ms, ATP 323ms): Try this: by blast (0.5 ms)
0.sledgehammer goal.by         3805ms Ordered_Resolution_Prover.FO_Ordered_Resolution 605:22142  some (SH 3805ms, ATP 407ms): Try this: by meson (0.3 ms)
0.sledgehammer goal.using      5689ms Ordered_Resolution_Prover.FO_Ordered_Resolution 607:22198  some (SH 5689ms, ATP 507ms): Try this: by (simp add: gr_cas) (2 ms)
0.sledgehammer goal.by         5387ms Ordered_Resolution_Prover.FO_Ordered_Resolution 607:22211  some (SH 5387ms, ATP 463ms): Try this: by simp (9 ms)
0.sledgehammer goal.by         9126ms Ordered_Resolution_Prover.FO_Ordered_Resolution 609:22250  some (SH 9126ms, ATP 462ms): Try this: by (simp add: da) (0.8 ms)
0.sledgehammer goal.using      5164ms Ordered_Resolution_Prover.FO_Ordered_Resolution 611:22308  some (SH 5164ms, ATP 316ms): Try this: using gr_da is_ground_cls_mono by blast (3 ms)
0.sledgehammer goal.by         4168ms Ordered_Resolution_Prover.FO_Ordered_Resolution 611:22339  some (SH 4167ms, ATP 357ms): Try this: by blast (3 ms)
0.sledgehammer goal.using     17724ms Ordered_Resolution_Prover.FO_Ordered_Resolution 614:22395  some (SH 17724ms, ATP 437ms): Try this: by (simp add: gr_cs gr_d) (1 ms)
0.sledgehammer goal.by        11739ms Ordered_Resolution_Prover.FO_Ordered_Resolution 614:22412  some (SH 11739ms, ATP 552ms): Try this: by simp (4 ms)
0.sledgehammer goal.by         5411ms Ordered_Resolution_Prover.FO_Ordered_Resolution 616:22462  some (SH 5411ms, ATP 548ms): Try this: using is_ground_subst_cls by blast (3 ms)
0.sledgehammer goal.using      8014ms Ordered_Resolution_Prover.FO_Ordered_Resolution 618:22494  some (SH 8014ms, ATP 573ms): Try this: by (meson cs_sub_cas d_sub_da subset_mset.add_mono) (60 ms)
0.sledgehammer goal.by         9646ms Ordered_Resolution_Prover.FO_Ordered_Resolution 618:22520  some (SH 9646ms, ATP 464ms): Try this: by (simp add: subset_mset.add_mono) (12 ms)
0.sledgehammer goal.using     36879ms Ordered_Resolution_Prover.FO_Ordered_Resolution 650:23527  timeout (SH 36879ms): Timed out
0.sledgehammer goal.proof     37715ms Ordered_Resolution_Prover.FO_Ordered_Resolution 651:23539  timeout (SH 37715ms): Timed out
0.sledgehammer goal.using      7794ms Ordered_Resolution_Prover.FO_Ordered_Resolution 655:23772  some (SH 7794ms, ATP 906ms): Try this: using c(3) apply argo (3 ms)
0.sledgehammer goal.by         5090ms Ordered_Resolution_Prover.FO_Ordered_Resolution 655:23782  some (SH 5090ms, ATP 930ms): Try this: apply argo (3 ms)
0.sledgehammer goal.using     46278ms Ordered_Resolution_Prover.FO_Ordered_Resolution 657:23826  some (SH 46278ms, ATP 3714ms): Try this: by (metis add_right_cancel c(1,2) calculation(1) cas local.ord_resolve(4) nth_equalityI) (31 ms)
0.sledgehammer goal.by        13276ms Ordered_Resolution_Prover.FO_Ordered_Resolution 657:23882  some (SH 13276ms, ATP 3916ms): Try this: by (metis add_right_imp_eq nth_equalityI) (181 ms)
0.sledgehammer goal.using      4214ms Ordered_Resolution_Prover.FO_Ordered_Resolution 662:24192  some (SH 4214ms, ATP 263ms): Try this: using local.ord_resolve(7) apply blast (1 ms)
0.sledgehammer goal.by         5553ms Ordered_Resolution_Prover.FO_Ordered_Resolution 662:24210  some (SH 5553ms, ATP 1002ms): Try this: apply argo (3 ms)
0.sledgehammer goal.by         5070ms Ordered_Resolution_Prover.FO_Ordered_Resolution 666:24334  some (SH 5070ms, ATP 566ms): Try this: using local.select by auto (1 ms)
0.sledgehammer goal.using     47896ms Ordered_Resolution_Prover.FO_Ordered_Resolution 670:24494  some (SH 47896ms, ATP 455ms): Try this: by (metis S_M_grounding_of_clss Un_iff grounding in_mono local.select) (1.0 s)
0.sledgehammer goal.by        22105ms Ordered_Resolution_Prover.FO_Ordered_Resolution 670:24539  some (SH 22105ms, ATP 374ms): Try this: by (metis (full_types) in_mono le_sup_iff) (398 ms)
0.sledgehammer goal.using      8322ms Ordered_Resolution_Prover.FO_Ordered_Resolution 672:24704  some (SH 8322ms, ATP 930ms): Try this: by (simp add: n(2)) (11 ms)
0.sledgehammer goal.by         6212ms Ordered_Resolution_Prover.FO_Ordered_Resolution 672:24712  some (SH 6212ms, ATP 897ms): Try this: using nth_mem by blast (10 ms)
0.sledgehammer goal.using     34914ms Ordered_Resolution_Prover.FO_Ordered_Resolution 678:24931  timeout (SH 34914ms): Timed out
0.sledgehammer goal.by        34430ms Ordered_Resolution_Prover.FO_Ordered_Resolution 678:24939  timeout (SH 34430ms): Timed out
0.sledgehammer goal.unfolding 31566ms Ordered_Resolution_Prover.FO_Ordered_Resolution 686:25110  timeout (SH 31566ms): Timed out
0.sledgehammer goal.by        36107ms Ordered_Resolution_Prover.FO_Ordered_Resolution 686:25137  some (SH 36107ms, ATP 452ms): Try this: apply fastforce (0.9 ms)
0.sledgehammer goal.unfolding 41005ms Ordered_Resolution_Prover.FO_Ordered_Resolution 691:25296  some (SH 41005ms, ATP 435ms): Try this: by (simp add: CAs0_def f_p(1)) (7 ms)
0.sledgehammer goal.using     24645ms Ordered_Resolution_Prover.FO_Ordered_Resolution 691:25315  some (SH 24645ms, ATP 993ms): Try this: by (simp add: f_p(1)) (14 ms)
0.sledgehammer goal.by        18642ms Ordered_Resolution_Prover.FO_Ordered_Resolution 691:25328  some (SH 18642ms, ATP 779ms): Try this: by auto (8 ms)
0.sledgehammer goal.unfolding 154544ms Ordered_Resolution_Prover.FO_Ordered_Resolution 693:25382  timeout (SH 154544ms):
0.sledgehammer goal.using     60103ms Ordered_Resolution_Prover.FO_Ordered_Resolution 693:25409  some (SH 60103ms, ATP 1607ms): Try this: by (smt (cvc5, best) CAs0_def \<eta>s0_def add.commute add.right_neutral f_p(2) length_map length_upt map_eq_conv map_nth min.idem n(1,2,4) nth_equalityI nth_map nth_map_upt nth_mem nth_upt subst_cls_lists_length subst_cls_lists_nth) (531 ms)
0.sledgehammer goal.by        79156ms Ordered_Resolution_Prover.FO_Ordered_Resolution 693:25423  some (SH 79156ms, ATP 264ms): Try this: by (smt (z3) CAs0_def add_0 length_map length_upt min.idem n(2,4) nth_equalityI nth_map_upt subst_cls_lists_length subst_cls_lists_nth) (709 ms)
0.sledgehammer goal.unfolding 36595ms Ordered_Resolution_Prover.FO_Ordered_Resolution 695:25533  timeout (SH 36595ms): Timed out
0.sledgehammer goal.using     34973ms Ordered_Resolution_Prover.FO_Ordered_Resolution 695:25560  timeout (SH 34972ms): Timed out
0.sledgehammer goal.by        35481ms Ordered_Resolution_Prover.FO_Ordered_Resolution 695:25575  timeout (SH 35481ms): Timed out
0.sledgehammer goal.unfolding 27473ms Ordered_Resolution_Prover.FO_Ordered_Resolution 697:25668  some (SH 27473ms, ATP 582ms): Try this: by (simp add: \<eta>s0_def f_p(4)) (7 ms)
0.sledgehammer goal.using     19641ms Ordered_Resolution_Prover.FO_Ordered_Resolution 697:25686  some (SH 19641ms, ATP 659ms): Try this: by (simp add: f_p(4)) (7 ms)
0.sledgehammer goal.by        33023ms Ordered_Resolution_Prover.FO_Ordered_Resolution 697:25698  some (SH 33023ms, ATP 762ms): Try this: by (metis \<eta>s0_def add_0 in_set_conv_nth length_map length_upt nth_map_upt) (194 ms)
0.sledgehammer goal.using      5496ms Ordered_Resolution_Prover.FO_Ordered_Resolution 699:25750  some (SH 5496ms, ATP 409ms): Try this: using is_ground_subst_list_def by blast (1 ms)
0.sledgehammer goal.unfolding  5772ms Ordered_Resolution_Prover.FO_Ordered_Resolution 699:25758  some (SH 5772ms, ATP 1528ms): Try this: using is_ground_subst_list_def by blast (8 ms)
0.sledgehammer goal.by         4104ms Ordered_Resolution_Prover.FO_Ordered_Resolution 699:25793  some (SH 4104ms, ATP 330ms): Try this: by blast (0.6 ms)
0.sledgehammer goal.proof     38284ms Ordered_Resolution_Prover.FO_Ordered_Resolution 705:26020  timeout (SH 38284ms): Timed out
0.sledgehammer goal.proof     37172ms Ordered_Resolution_Prover.FO_Ordered_Resolution 707:26106  timeout (SH 37171ms): Timed out
0.sledgehammer goal.using     28485ms Ordered_Resolution_Prover.FO_Ordered_Resolution 711:26208  some (SH 28485ms, ATP 406ms): Try this: using CAs0_to_CAs \<open>i < n\<close> n(1,2) by auto (15 ms)
0.sledgehammer goal.by         5686ms Ordered_Resolution_Prover.FO_Ordered_Resolution 711:26246  some (SH 5686ms, ATP 694ms): Try this: by (metis subst_cls_lists_nth) (114 ms)
0.sledgehammer goal.using     12444ms Ordered_Resolution_Prover.FO_Ordered_Resolution 713:26310  some (SH 12444ms, ATP 741ms): Try this: by (simp add: \<open>i < n\<close> cas) (1 ms)
0.sledgehammer goal.by         6725ms Ordered_Resolution_Prover.FO_Ordered_Resolution 713:26328  some (SH 6725ms, ATP 753ms): Try this: by auto (6 ms)
0.sledgehammer goal.using     37015ms Ordered_Resolution_Prover.FO_Ordered_Resolution 716:26456  timeout (SH 37015ms): Timed out
0.sledgehammer goal.unfolding 32937ms Ordered_Resolution_Prover.FO_Ordered_Resolution 716:26487  some (SH 32937ms, ATP 1839ms): Try this: by (metis subst_cls_def) (41 ms)
0.sledgehammer goal.by         8278ms Ordered_Resolution_Prover.FO_Ordered_Resolution 716:26511  some (SH 8278ms, ATP 768ms): Try this: by metis (349 ms)
0.sledgehammer goal.unfolding 33709ms Ordered_Resolution_Prover.FO_Ordered_Resolution 718:26574  timeout (SH 33709ms): Timed out
0.sledgehammer goal.by        35298ms Ordered_Resolution_Prover.FO_Ordered_Resolution 718:26598  timeout (SH 35298ms): Timed out
0.sledgehammer goal.using     35308ms Ordered_Resolution_Prover.FO_Ordered_Resolution 725:26837  timeout (SH 35308ms): Timed out
0.sledgehammer goal.unfolding 35221ms Ordered_Resolution_Prover.FO_Ordered_Resolution 725:26845  timeout (SH 35221ms): Timed out
0.sledgehammer goal.by        34999ms Ordered_Resolution_Prover.FO_Ordered_Resolution 725:26863  timeout (SH 34999ms): Timed out
0.sledgehammer goal.using     34835ms Ordered_Resolution_Prover.FO_Ordered_Resolution 727:26923  some (SH 34835ms, ATP 473ms): Try this: by (metis literal.inject(1) multiset.inj_map_strong nn subst_cls_poss) (113 ms)
0.sledgehammer goal.by        30084ms Ordered_Resolution_Prover.FO_Ordered_Resolution 727:26932  some (SH 30084ms, ATP 113ms): Try this: by (metis literal.inject(1) multiset.inj_map_strong subst_cls_poss) (5.6 s)
0.sledgehammer goal.using      5806ms Ordered_Resolution_Prover.FO_Ordered_Resolution 729:27063  some (SH 5806ms, ATP 834ms): Try this: using na nn by fastforce (3 ms)
0.sledgehammer goal.by         6780ms Ordered_Resolution_Prover.FO_Ordered_Resolution 729:27075  some (SH 6780ms, ATP 654ms): Try this: by meson (0.5 ms)
0.sledgehammer goal.by         5609ms Ordered_Resolution_Prover.FO_Ordered_Resolution 731:27170  some (SH 5608ms, ATP 688ms): Try this: by blast (6 ms)
0.sledgehammer goal.by        35985ms Ordered_Resolution_Prover.FO_Ordered_Resolution 735:27307  timeout (SH 35985ms): Timed out
0.sledgehammer goal.by        11202ms Ordered_Resolution_Prover.FO_Ordered_Resolution 740:27406  some (SH 11202ms, ATP 651ms): Try this: by simp (1 ms)
0.sledgehammer goal.using     25992ms Ordered_Resolution_Prover.FO_Ordered_Resolution 744:27518  some (SH 25992ms, ATP 754ms): Try this: using AAs0f_p by auto (15 ms)
0.sledgehammer goal.by        18663ms Ordered_Resolution_Prover.FO_Ordered_Resolution 744:27532  some (SH 18663ms, ATP 900ms): Try this: by simp (8 ms)
0.sledgehammer goal.using     44632ms Ordered_Resolution_Prover.FO_Ordered_Resolution 746:27593  some (SH 44632ms, ATP 1715ms): Try this: by (metis CAs0_to_CAs aas_len local.ord_resolve(3,5) n(1,2,8) nth_equalityI subst_atm_mset_lists_length subst_atm_mset_lists_nth subst_cls_lists_length) (118 ms)
0.sledgehammer goal.by        25372ms Ordered_Resolution_Prover.FO_Ordered_Resolution 746:27601  some (SH 25372ms, ATP 1710ms): Try this: by (metis CAs0_to_CAs nth_equalityI subst_atm_mset_lists_length subst_atm_mset_lists_nth subst_cls_lists_length) (58 ms)
0.sledgehammer goal.using     19843ms Ordered_Resolution_Prover.FO_Ordered_Resolution 749:27714  some (SH 19842ms, ATP 942ms): Try this: by (simp add: AAs0f_p) (5 ms)
0.sledgehammer goal.by        17676ms Ordered_Resolution_Prover.FO_Ordered_Resolution 749:27728  some (SH 17676ms, ATP 993ms): Try this: by simp (7 ms)
0.sledgehammer goal.using     30506ms Ordered_Resolution_Prover.FO_Ordered_Resolution 755:27835  timeout (SH 30506ms): Timed out
0.sledgehammer goal.by        35400ms Ordered_Resolution_Prover.FO_Ordered_Resolution 755:27851  timeout (SH 35400ms): Timed out
0.sledgehammer goal.using     33566ms Ordered_Resolution_Prover.FO_Ordered_Resolution 759:27954  timeout (SH 33566ms): Timed out
0.sledgehammer goal.by        35052ms Ordered_Resolution_Prover.FO_Ordered_Resolution 759:27983  timeout (SH 35052ms): Timed out
0.sledgehammer goal.using     32416ms Ordered_Resolution_Prover.FO_Ordered_Resolution 761:28031  timeout (SH 32416ms): Timed out
