0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = true, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_timeout = 1.000, provers = ["cvc5_proof"], slices = 96,
0.sledgehammer initialize  smt_proofs = true, spy = false, strict = false, timeout = 30.000, try0 =
0.sledgehammer initialize  false, type_enc = NONE, uncurried_aliases = NONE, verbose = true}
0.sledgehammer goal.by        59357ms Prime_Number_Theorem.Prime_Number_Theorem_Library 437:18422  some (SH 58610ms, ATP 513ms): Try this: by (smt (cvc5, noematch) fds_converges_remainder_iff) (69 ms)
0.sledgehammer goal.unfolding 32308ms Prime_Number_Theorem.Prime_Number_Theorem_Library 439:18528  some (SH 32003ms, ATP 232ms): Try this: by (smt (cvc5, trigger_last) eval_fds_def suminf_cong) (152 ms)
0.sledgehammer goal.using     40465ms Prime_Number_Theorem.Prime_Number_Theorem_Library 441:18648  timeout (SH 40463ms): Timed out
0.sledgehammer goal.unfolding 37877ms Prime_Number_Theorem.Prime_Number_Theorem_Library 441:18656  timeout (SH 37875ms): Timed out
0.sledgehammer goal.by        38263ms Prime_Number_Theorem.Prime_Number_Theorem_Library 442:18688  timeout (SH 38261ms): Timed out
0.sledgehammer goal.by        38542ms Prime_Number_Theorem.Prime_Number_Theorem_Library 444:18853  timeout (SH 38539ms): Timed out
0.sledgehammer goal.by        37186ms Prime_Number_Theorem.Prime_Number_Theorem_Library 449:19009  timeout (SH 37184ms): Timed out
0.sledgehammer goal.using     39538ms Prime_Number_Theorem.Prime_Number_Theorem_Library 455:19272  timeout (SH 39535ms): Timed out
0.sledgehammer goal.by        57225ms Prime_Number_Theorem.Prime_Number_Theorem_Library 456:19371  some (SH 57223ms, ATP 1013ms): Try this: by (smt (cvc5, noematch) comp_apply holomorphic_cong image_subset_iff mem_Collect_eq) (799 ms)
0.sledgehammer goal.using     37366ms Prime_Number_Theorem.Prime_Number_Theorem_Library 461:19558  timeout (SH 37364ms): Timed out
0.sledgehammer goal.by        81304ms Prime_Number_Theorem.Prime_Number_Theorem_Library 462:19651  some (SH 81301ms, ATP 262ms): Try this: by (smt (cvc5, best) analytic_on_def comp_apply holomorphic_cong mem_Collect_eq) (589 ms)
0.sledgehammer goal.using     39029ms Prime_Number_Theorem.Prime_Number_Theorem_Library 467:19857  timeout (SH 39026ms): Timed out
0.sledgehammer goal.by        38806ms Prime_Number_Theorem.Prime_Number_Theorem_Library 467:19869  timeout (SH 38804ms): Timed out
0.sledgehammer goal.using     41262ms Prime_Number_Theorem.Prime_Number_Theorem_Library 473:20190  timeout (SH 41259ms): Timed out
0.sledgehammer goal.by        41400ms Prime_Number_Theorem.Prime_Number_Theorem_Library 473:20202  timeout (SH 41399ms): Timed out
0.sledgehammer goal.proof     38211ms Prime_Number_Theorem.Prime_Number_Theorem_Library 479:20513  timeout (SH 38208ms): Timed out
0.sledgehammer goal.proof     38836ms Prime_Number_Theorem.Prime_Number_Theorem_Library 482:20631  timeout (SH 38834ms): Timed out
0.sledgehammer goal.by        39170ms Prime_Number_Theorem.Prime_Number_Theorem_Library 484:20712  timeout (SH 39167ms): Timed out
0.sledgehammer goal.by        38592ms Prime_Number_Theorem.Prime_Number_Theorem_Library 487:20847  timeout (SH 38591ms): Timed out
0.sledgehammer goal.by         7110ms Prime_Number_Theorem.Prime_Number_Theorem_Library 488:20931  some (SH 7107ms, ATP 754ms): Try this: by (smt (cvc5, term_relev) assms(1)) (72 ms)
0.sledgehammer goal.by        54513ms Prime_Number_Theorem.Prime_Number_Theorem_Library 493:21135  some (SH 54233ms, ATP 359ms): Try this: apply (smt (cvc5, best) \<open>h \<equiv> \<lambda>(x, y). part_circlepath c r (linepath a1 a2 x) (linepath b1 b2 x) y\<close> linepath_0' split_conv) (200 ms)
0.sledgehammer goal.using     61398ms Prime_Number_Theorem.Prime_Number_Theorem_Library 495:21225  some (SH 61395ms, ATP 1195ms): Try this: by (smt (cvc5) Ints_of_int cis_multiple_2pi mult_of_int_commute of_int_add vector_space_over_itself.scale_left_distrib)
0.sledgehammer goal.by        80016ms Prime_Number_Theorem.Prime_Number_Theorem_Library 495:21255  some (SH 80013ms, ATP 3046ms): Try this: by (smt (cvc5) Groups.mult_ac(2) cis.ctr cos_eq_neg_periodic_intro cos_one_sin_zero cos_pi one_complex.ctr)
0.sledgehammer goal.by        37363ms Prime_Number_Theorem.Prime_Number_Theorem_Library 497:21350  timeout (SH 37361ms): Timed out
0.sledgehammer goal.by        40008ms Prime_Number_Theorem.Prime_Number_Theorem_Library 504:21617  timeout (SH 40007ms): Timed out
0.sledgehammer goal.proof     40670ms Prime_Number_Theorem.Prime_Number_Theorem_Library 512:22013  timeout (SH 40667ms): Timed out
0.sledgehammer goal.by        14384ms Prime_Number_Theorem.Prime_Number_Theorem_Library 514:22074  some (SH 14382ms, ATP 852ms): Try this: by (smt (cvc5, fmf)) (1.5 s)
0.sledgehammer goal.by        35907ms Prime_Number_Theorem.Prime_Number_Theorem_Library 517:22189  timeout (SH 35905ms): Timed out
0.sledgehammer goal.proof     41123ms Prime_Number_Theorem.Prime_Number_Theorem_Library 522:22327  timeout (SH 41121ms): Timed out
0.sledgehammer goal.proof     41341ms Prime_Number_Theorem.Prime_Number_Theorem_Library 525:22453  timeout (SH 41340ms): Timed out
0.sledgehammer goal.by        47534ms Prime_Number_Theorem.Prime_Number_Theorem_Library 528:22566  some (SH 47532ms, ATP 1751ms): Try this: by (smt (cvc5, best) cis_conv_exp[of "linepath a c (f t)"] linepath_def[of a c] part_circlepath_def[of C r a c] real_scaleR_def[of "f t" c] real_scaleR_def[of "1 - f t" a]) (406 ms)
0.sledgehammer goal.unfolding 43747ms Prime_Number_Theorem.Prime_Number_Theorem_Library 530:22739  timeout (SH 43745ms): Timed out
0.sledgehammer goal.by        36755ms Prime_Number_Theorem.Prime_Number_Theorem_Library 531:22800  timeout (SH 36754ms): Timed out
0.sledgehammer goal.by        38007ms Prime_Number_Theorem.Prime_Number_Theorem_Library 534:22999  timeout (SH 38005ms): Timed out
0.sledgehammer goal.by        38798ms Prime_Number_Theorem.Prime_Number_Theorem_Library 539:23201  timeout (SH 38796ms): Timed out
0.sledgehammer goal.unfolding 38086ms Prime_Number_Theorem.Prime_Number_Theorem_Library 541:23381  timeout (SH 38081ms): Timed out
0.sledgehammer goal.by        38004ms Prime_Number_Theorem.Prime_Number_Theorem_Library 542:23442  timeout (SH 38003ms): Timed out
0.sledgehammer goal.by        46944ms Prime_Number_Theorem.Prime_Number_Theorem_Library 545:23642  timeout (SH 46941ms): Timed out
0.sledgehammer goal.by        34951ms Prime_Number_Theorem.Prime_Number_Theorem_Library 550:23812  timeout (SH 34949ms): Timed out
0.sledgehammer goal.by        80460ms Prime_Number_Theorem.Prime_Number_Theorem_Library 551:23908  timeout (SH 80458ms): Timed out
0.sledgehammer goal.unfolding 36451ms Prime_Number_Theorem.Prime_Number_Theorem_Library 553:23969  timeout (SH 36449ms): Timed out
0.sledgehammer goal.by        37876ms Prime_Number_Theorem.Prime_Number_Theorem_Library 553:23985  timeout (SH 37874ms): Timed out
0.sledgehammer goal.by         8528ms Prime_Number_Theorem.Prime_Number_Theorem_Library 554:24027  some (SH 8526ms, ATP 1301ms): Try this: by (smt (cvc5, fmf) path_defs(1)) (148 ms)
0.sledgehammer goal.by        27987ms Prime_Number_Theorem.Prime_Number_Theorem_Library 558:24176  some (SH 27986ms, ATP 559ms): Try this: by (smt (cvc5, fmf)) (1.0 s)
0.sledgehammer goal.by        38885ms Prime_Number_Theorem.Prime_Number_Theorem_Library 560:24275  timeout (SH 38883ms): Timed out
0.sledgehammer goal.using     36100ms Prime_Number_Theorem.Prime_Number_Theorem_Library 561:24350  some (SH 36098ms, ATP 902ms): Try this: by (smt (cvc5, best) True \<open>b = c\<close> assms(3) homotopic_paths_refl path_part_circlepath) (350 ms)
0.sledgehammer goal.by        25310ms Prime_Number_Theorem.Prime_Number_Theorem_Library 561:24362  some (SH 25309ms, ATP 1026ms): Try this: by (smt (cvc5, best) True homotopic_paths_refl path_part_circlepath) (1.5 s)
0.sledgehammer goal.using     63659ms Prime_Number_Theorem.Prime_Number_Theorem_Library 567:24546  some (SH 63657ms, ATP 1891ms): Try this: by (smt (cvc5) assms(1,2,3) mem_Collect_eq path_image_part_circlepath subsetI)
0.sledgehammer goal.by        39514ms Prime_Number_Theorem.Prime_Number_Theorem_Library 567:24558  timeout (SH 39512ms): Timed out
0.sledgehammer goal.proof     40036ms Prime_Number_Theorem.Prime_Number_Theorem_Library 572:24792  timeout (SH 40034ms): Timed out
0.sledgehammer goal.by        37141ms Prime_Number_Theorem.Prime_Number_Theorem_Library 575:24908  timeout (SH 37138ms): Timed out
0.sledgehammer goal.by        19266ms Prime_Number_Theorem.Prime_Number_Theorem_Library 577:25082  some (SH 19263ms, ATP 1216ms): Try this: by (smt (cvc5, trigger_relev) cis.periodic_simps(4)) (191 ms)
0.sledgehammer goal.by        18322ms Prime_Number_Theorem.Prime_Number_Theorem_Library 579:25152  some (SH 18320ms, ATP 732ms): Try this: by (smt (cvc5, quant_saturate) minus_cis) (384 ms)
0.sledgehammer goal.by        60411ms Prime_Number_Theorem.Prime_Number_Theorem_Library 581:25235  some (SH 60409ms, ATP 982ms): Try this: by (smt (cvc5, term_relev) assms(3) cis_conv_exp more_arith_simps(8,9) part_circlepath_def) (169 ms)
0.sledgehammer goal.by         7837ms Prime_Number_Theorem.Prime_Number_Theorem_Library 583:25371  some (SH 7835ms, ATP 609ms): Try this: by (smt (cvc5, noematch) uminus_apply) (289 ms)
0.sledgehammer goal.by        46463ms Prime_Number_Theorem.Prime_Number_Theorem_Library 587:25469  timeout (SH 46461ms): Timed out
0.sledgehammer goal.using     37418ms Prime_Number_Theorem.Prime_Number_Theorem_Library 590:25607  timeout (SH 37416ms): Timed out
0.sledgehammer goal.by        38813ms Prime_Number_Theorem.Prime_Number_Theorem_Library 590:25652  timeout (SH 38812ms): Timed out
0.sledgehammer goal.by        34326ms Prime_Number_Theorem.Prime_Number_Theorem_Library 593:25751  timeout (SH 34324ms): Timed out
0.sledgehammer goal.using     34520ms Prime_Number_Theorem.Prime_Number_Theorem_Library 596:25900  timeout (SH 34519ms): Timed out
0.sledgehammer goal.by        32537ms Prime_Number_Theorem.Prime_Number_Theorem_Library 596:25957  timeout (SH 32535ms): Timed out
0.sledgehammer goal.by        18747ms Prime_Number_Theorem.Prime_Number_Theorem_Library 600:26119  some (SH 18745ms, ATP 948ms): Try this: apply (smt (cvc5, best) path_defs(2) uminus_apply) (66 ms)
0.sledgehammer goal.by        37366ms Prime_Number_Theorem.Prime_Number_Theorem_Library 603:26237  timeout (SH 37365ms): Timed out
0.sledgehammer goal.proof     40671ms Prime_Number_Theorem.Prime_Number_Theorem_Library 608:26341  timeout (SH 40669ms): Timed out
0.sledgehammer goal.by         9363ms Prime_Number_Theorem.Prime_Number_Theorem_Library 609:26380  some (SH 9362ms, ATP 750ms): Try this: by (smt (cvc5, term_relev) cos_minus_pi) (684 ms)
0.sledgehammer goal.by        56129ms Prime_Number_Theorem.Prime_Number_Theorem_Library 611:26454  timeout (SH 56127ms): Timed out
0.sledgehammer goal.by        63881ms Prime_Number_Theorem.Prime_Number_Theorem_Library 612:26508  some (SH 63879ms, ATP 1034ms): Try this: by (smt (cvc5, fmf)) (1.3 s)
0.sledgehammer goal.using     38810ms Prime_Number_Theorem.Prime_Number_Theorem_Library 616:26578  timeout (SH 38808ms): Timed out
0.sledgehammer goal.by        37485ms Prime_Number_Theorem.Prime_Number_Theorem_Library 616:26605  timeout (SH 37483ms): Timed out
0.sledgehammer goal.by        16784ms Prime_Number_Theorem.Prime_Number_Theorem_Library 623:26937  some (SH 16782ms, ATP 1145ms): Try this: by (smt (cvc5, fmf) winding_number_join_pos_combined) (2.5 s)
0.sledgehammer goal.proof     47951ms Prime_Number_Theorem.Prime_Number_Theorem_Library 628:27150  timeout (SH 47949ms): Timed out
0.sledgehammer goal.proof     42415ms Prime_Number_Theorem.Prime_Number_Theorem_Library 631:27275  timeout (SH 42412ms): Timed out
0.sledgehammer goal.by        40110ms Prime_Number_Theorem.Prime_Number_Theorem_Library 633:27344  timeout (SH 40109ms): Timed out
0.sledgehammer goal.by        38667ms Prime_Number_Theorem.Prime_Number_Theorem_Library 636:27448  timeout (SH 38664ms): Timed out
0.sledgehammer goal.by        38722ms Prime_Number_Theorem.Prime_Number_Theorem_Library 637:27518  some (SH 38721ms, ATP 1700ms): Try this: apply (smt (cvc5, fmf) of_nat_0_le_iff of_nat_floor) (1.0 s)
0.sledgehammer goal.by        26400ms Prime_Number_Theorem.Prime_Number_Theorem_Library 638:27584  some (SH 26398ms, ATP 1169ms): Try this: apply (smt (cvc5, noematch) le_nat_floor) (482 ms)
0.sledgehammer goal.by        42359ms Prime_Number_Theorem.Prime_Number_Theorem_Library 639:27625  timeout (SH 42357ms): Timed out
0.sledgehammer goal.proof     49203ms Prime_Number_Theorem.Prime_Number_Theorem_Library 647:27814  timeout (SH 49201ms): Timed out
0.sledgehammer goal.using     42593ms Prime_Number_Theorem.Prime_Number_Theorem_Library 650:27921  timeout (SH 42591ms): Timed out
0.sledgehammer goal.by        41647ms Prime_Number_Theorem.Prime_Number_Theorem_Library 650:27966  timeout (SH 41645ms): Timed out
0.sledgehammer goal.proof     36851ms Prime_Number_Theorem.Prime_Number_Theorem_Library 652:28088  timeout (SH 36849ms): Timed out
0.sledgehammer goal.using     41196ms Prime_Number_Theorem.Prime_Number_Theorem_Library 655:28225  timeout (SH 41194ms): Timed out
0.sledgehammer goal.by        39993ms Prime_Number_Theorem.Prime_Number_Theorem_Library 655:28238  timeout (SH 39991ms): Timed out
0.sledgehammer goal.using     39205ms Prime_Number_Theorem.Prime_Number_Theorem_Library 657:28415  timeout (SH 39204ms): Timed out
0.sledgehammer goal.by        43232ms Prime_Number_Theorem.Prime_Number_Theorem_Library 658:28429  timeout (SH 43230ms): Timed out
0.sledgehammer goal.using     38759ms Prime_Number_Theorem.Prime_Number_Theorem_Library 659:28506  timeout (SH 38756ms): Timed out
0.sledgehammer goal.by        39825ms Prime_Number_Theorem.Prime_Number_Theorem_Library 660:28580  timeout (SH 39823ms): Timed out
0.sledgehammer goal.unfolding 38263ms Prime_Number_Theorem.Prime_Number_Theorem_Library 664:28748  timeout (SH 38260ms): Timed out
0.sledgehammer goal.by        43183ms Prime_Number_Theorem.Prime_Number_Theorem_Library 664:28764  timeout (SH 43182ms): Timed out
0.sledgehammer goal.proof     45858ms Prime_Number_Theorem.Prime_Number_Theorem_Library 672:29023  timeout (SH 45849ms): Timed out
0.sledgehammer goal.using     45422ms Prime_Number_Theorem.Prime_Number_Theorem_Library 675:29130  timeout (SH 45420ms): Timed out
0.sledgehammer goal.by        45069ms Prime_Number_Theorem.Prime_Number_Theorem_Library 675:29175  timeout (SH 45068ms): Timed out
0.sledgehammer goal.proof     39274ms Prime_Number_Theorem.Prime_Number_Theorem_Library 677:29297  timeout (SH 39268ms): Timed out
0.sledgehammer goal.using     38042ms Prime_Number_Theorem.Prime_Number_Theorem_Library 680:29434  timeout (SH 38038ms): Timed out
0.sledgehammer goal.by        37242ms Prime_Number_Theorem.Prime_Number_Theorem_Library 680:29447  timeout (SH 37241ms): Timed out
0.sledgehammer goal.using     39819ms Prime_Number_Theorem.Prime_Number_Theorem_Library 682:29626  timeout (SH 39816ms): Timed out
0.sledgehammer goal.by        69851ms Prime_Number_Theorem.Prime_Number_Theorem_Library 683:29640  timeout (SH 69848ms): Timed out
0.sledgehammer goal.using     43186ms Prime_Number_Theorem.Prime_Number_Theorem_Library 684:29717  timeout (SH 43183ms): Timed out
0.sledgehammer goal.by        43432ms Prime_Number_Theorem.Prime_Number_Theorem_Library 685:29791  timeout (SH 43431ms): Timed out
0.sledgehammer goal.unfolding 42279ms Prime_Number_Theorem.Prime_Number_Theorem_Library 689:29965  timeout (SH 42272ms): Timed out
0.sledgehammer goal.by        39690ms Prime_Number_Theorem.Prime_Number_Theorem_Library 689:29981  timeout (SH 39688ms): Timed out
0.sledgehammer goal.by        41762ms Prime_Number_Theorem.Prime_Number_Theorem_Library 691:30084  timeout (SH 41761ms): Timed out
0.sledgehammer goal.proof     40257ms Prime_Number_Theorem.Prime_Number_Theorem_Library 699:30322  timeout (SH 40255ms): Timed out
0.sledgehammer goal.by        14520ms Prime_Number_Theorem.Prime_Number_Theorem_Library 700:30369  some (SH 14518ms, ATP 1967ms): Try this: by (smt (cvc5, noematch) less_one linorder_neqE_nat) (1.7 s)
0.sledgehammer goal.proof     39594ms Prime_Number_Theorem.Prime_Number_Theorem_Library 702:30395  timeout (SH 39592ms): Timed out
0.sledgehammer goal.by        37255ms Prime_Number_Theorem.Prime_Number_Theorem_Library 704:30467  timeout (SH 37253ms): Timed out
0.sledgehammer goal.by        57878ms Prime_Number_Theorem.Prime_Number_Theorem_Library 706:30565  timeout (SH 57877ms): Timed out
0.sledgehammer goal.proof     76683ms Prime_Number_Theorem.Prime_Number_Theorem_Library 708:30655  timeout (SH 76680ms): Timed out
0.sledgehammer goal.using     44111ms Prime_Number_Theorem.Prime_Number_Theorem_Library 710:30790  some (SH 44108ms, ATP 1686ms): Try this: by (smt (cvc5, quant_saturate) has_integral_eq m nat_sum_has_integral_ceiling) (397 ms)
0.sledgehammer goal.by        40939ms Prime_Number_Theorem.Prime_Number_Theorem_Library 710:30798  timeout (SH 40935ms): Timed out
0.sledgehammer goal.by        41100ms Prime_Number_Theorem.Prime_Number_Theorem_Library 714:30980  timeout (SH 41096ms): Timed out
0.sledgehammer goal.by        51410ms Prime_Number_Theorem.Prime_Number_Theorem_Library 718:31270  some (SH 51407ms, ATP 1234ms): Try this: by (smt (cvc5, best) Num.of_nat_simps(2) powr_one_eq_one) (1.2 s)
0.sledgehammer goal.using     38782ms Prime_Number_Theorem.Prime_Number_Theorem_Library 721:31397  timeout (SH 38780ms): Timed out
0.sledgehammer goal.by        39854ms Prime_Number_Theorem.Prime_Number_Theorem_Library 721:31405  timeout (SH 39852ms): Timed out
0.sledgehammer goal.by        12650ms Prime_Number_Theorem.Prime_Number_Theorem_Library 722:31457  some (SH 12648ms, ATP 530ms): Try this: by (smt (cvc5, best)) (1.1 s)
0.sledgehammer goal.proof     40308ms Prime_Number_Theorem.Prime_Number_Theorem_Library 730:31663  timeout (SH 40305ms): Timed out
0.sledgehammer goal.by        46789ms Prime_Number_Theorem.Prime_Number_Theorem_Library 733:31768  timeout (SH 46786ms): Timed out
0.sledgehammer goal.using     37729ms Prime_Number_Theorem.Prime_Number_Theorem_Library 735:31853  timeout (SH 37728ms): Timed out
0.sledgehammer goal.by        39560ms Prime_Number_Theorem.Prime_Number_Theorem_Library 735:31865  timeout (SH 39558ms): Timed out
0.sledgehammer goal.by        39900ms Prime_Number_Theorem.Prime_Number_Theorem_Library 740:32015  timeout (SH 39898ms): Timed out
0.sledgehammer goal.by        44044ms Prime_Number_Theorem.Prime_Number_Theorem_Library 741:32117  timeout (SH 44041ms): Timed out
0.sledgehammer goal.proof     40128ms Prime_Number_Theorem.Prime_Number_Theorem_Library 743:32190  timeout (SH 40126ms): Timed out
0.sledgehammer goal.using     61495ms Prime_Number_Theorem.Prime_Number_Theorem_Library 745:32321  some (SH 61492ms, ATP 1730ms): Try this: by (smt (cvc5, quant_saturate) assms(2) has_integral_eq nat_sum_has_integral_floor) (865 ms)
0.sledgehammer goal.by        59129ms Prime_Number_Theorem.Prime_Number_Theorem_Library 745:32329  some (SH 59126ms, ATP 983ms): Try this: by (smt (cvc5, quant_saturate) has_integral_cong nat_sum_has_integral_floor) (1.4 s)
0.sledgehammer goal.using     39411ms Prime_Number_Theorem.Prime_Number_Theorem_Library 748:32469  timeout (SH 39407ms): Timed out
0.sledgehammer goal.by        40233ms Prime_Number_Theorem.Prime_Number_Theorem_Library 748:32514  timeout (SH 40230ms): Timed out
0.sledgehammer goal.by        61890ms Prime_Number_Theorem.Prime_Number_Theorem_Library 752:32644  some (SH 61883ms, ATP 2348ms): Try this: by (smt (cvc5) nat_floor_neg of_nat_eq_0_iff of_nat_floor of_nat_le_0_iff powr_less_cancel2 powr_nonneg_iff)
0.sledgehammer goal.using     43015ms Prime_Number_Theorem.Prime_Number_Theorem_Library 755:32771  timeout (SH 43011ms): Timed out
0.sledgehammer goal.by        40569ms Prime_Number_Theorem.Prime_Number_Theorem_Library 755:32781  timeout (SH 40566ms): Timed out
0.sledgehammer goal.by        14373ms Prime_Number_Theorem.Prime_Number_Theorem_Library 756:32841  some (SH 14371ms, ATP 1192ms): Try this: by (smt (cvc5, noematch)) (1.9 s)
0.sledgehammer goal.proof     50734ms Prime_Number_Theorem.Prime_Number_Theorem_Library 762:32962  timeout (SH 50731ms): Timed out
0.sledgehammer goal.by        45831ms Prime_Number_Theorem.Prime_Number_Theorem_Library 764:33027  timeout (SH 45824ms): Timed out
0.sledgehammer goal.by        41067ms Prime_Number_Theorem.Prime_Number_Theorem_Library 766:33163  timeout (SH 41065ms): Timed out
0.sledgehammer goal.by        38816ms Prime_Number_Theorem.Prime_Number_Theorem_Library 768:33288  timeout (SH 38814ms): Timed out
0.sledgehammer goal.using     37094ms Prime_Number_Theorem.Prime_Number_Theorem_Library 769:33345  some (SH 37092ms, ATP 638ms): Try this: by (smt (cvc5, trigger_max) that) (639 ms)
0.sledgehammer goal.by        35957ms Prime_Number_Theorem.Prime_Number_Theorem_Library 769:33356  some (SH 35953ms, ATP 929ms): Try this: by (smt (cvc5, quant_saturate)) (1.0 s)
0.sledgehammer goal.proof     56699ms Prime_Number_Theorem.Prime_Number_Theorem_Library 773:33422  timeout (SH 56695ms): Timed out
0.sledgehammer goal.by        13348ms Prime_Number_Theorem.Prime_Number_Theorem_Library 775:33497  some (SH 13346ms, ATP 1120ms): Try this: by (smt (cvc5, trigger_relev) Bseq_def) (1.9 s)
0.sledgehammer goal.by        47508ms Prime_Number_Theorem.Prime_Number_Theorem_Library 776:33544  timeout (SH 47505ms): Timed out
0.sledgehammer goal.by        31684ms Prime_Number_Theorem.Prime_Number_Theorem_Library 780:33696  some (SH 31682ms, ATP 1069ms): Try this: by (smt (cvc5, best)) (1.6 s)
0.sledgehammer goal.by        29001ms Prime_Number_Theorem.Prime_Number_Theorem_Library 781:33720  some (SH 28999ms, ATP 545ms): Try this: by (smt (cvc5, quant_saturate) BseqI) (639 ms)
0.sledgehammer goal.proof     44977ms Prime_Number_Theorem.Prime_Number_Theorem_Library 788:33967  timeout (SH 44973ms): Timed out
0.sledgehammer goal.by        40283ms Prime_Number_Theorem.Prime_Number_Theorem_Library 791:34074  timeout (SH 40281ms): Timed out
0.sledgehammer goal.using     43416ms Prime_Number_Theorem.Prime_Number_Theorem_Library 793:34193  timeout (SH 43414ms): Timed out
0.sledgehammer goal.by        43714ms Prime_Number_Theorem.Prime_Number_Theorem_Library 793:34204  timeout (SH 43713ms): Timed out
0.sledgehammer goal.by        40440ms Prime_Number_Theorem.Prime_Number_Theorem_Library 796:34393  timeout (SH 40437ms): Timed out
0.sledgehammer goal.by        41959ms Prime_Number_Theorem.Prime_Number_Theorem_Library 798:34548  timeout (SH 41957ms): Timed out
0.sledgehammer goal.by        51645ms Prime_Number_Theorem.Prime_Number_Theorem_Library 801:34680  timeout (SH 51643ms): Timed out
0.sledgehammer goal.by        66180ms Prime_Number_Theorem.Prime_Number_Theorem_Library 807:34875  some (SH 66178ms, ATP 2388ms): Try this: by (smt (cvc5, noematch) abs_summable_on_cong abs_summable_on_norm_iff norm_minus_cancel) (1.4 s)
0.sledgehammer goal.by        39561ms Prime_Number_Theorem.Prime_Number_Theorem_Library 813:35117  timeout (SH 39560ms): Timed out
0.sledgehammer goal.by        58157ms Prime_Number_Theorem.Prime_Number_Theorem_Library 819:35367  some (SH 58156ms, ATP 554ms): Try this: by (smt (cvc5, best) abs_summable_on_cmult_right_iff abs_summable_on_cong assms mult_commute_abs) (1.8 s)
0.sledgehammer goal.proof     42327ms Prime_Number_Theorem.Prime_Number_Theorem_Library 827:35700  timeout (SH 42323ms): Timed out
0.sledgehammer goal.by        39370ms Prime_Number_Theorem.Prime_Number_Theorem_Library 829:35735  timeout (SH 39369ms): Timed out
0.sledgehammer goal.by        43477ms Prime_Number_Theorem.Prime_Number_Theorem_Library 832:35906  timeout (SH 43474ms): Timed out
0.sledgehammer goal.using     37544ms Prime_Number_Theorem.Prime_Number_Theorem_Library 834:36025  timeout (SH 37535ms): Timed out
0.sledgehammer goal.by        37420ms Prime_Number_Theorem.Prime_Number_Theorem_Library 834:36036  timeout (SH 37419ms): Timed out
0.sledgehammer goal.by        58321ms Prime_Number_Theorem.Prime_Number_Theorem_Library 837:36241  some (SH 58319ms, ATP 1603ms): Try this: by (smt (cvc5) indicator_simps(2) mult_eq_0_iff nn_integral_cong suminf_cong)
0.sledgehammer goal.by        50541ms Prime_Number_Theorem.Prime_Number_Theorem_Library 839:36404  timeout (SH 50538ms): Timed out
0.sledgehammer goal.by        43941ms Prime_Number_Theorem.Prime_Number_Theorem_Library 842:36574  timeout (SH 43939ms): Timed out
0.sledgehammer goal.by        61878ms Prime_Number_Theorem.Prime_Number_Theorem_Library 844:36731  some (SH 61874ms, ATP 4631ms): Try this: by (smt (cvc5, trigger_last) indicator_mult_ennreal mult.commute nn_integral_cong) (833 ms)
0.sledgehammer goal.using     42494ms Prime_Number_Theorem.Prime_Number_Theorem_Library 846:36818  timeout (SH 42491ms): Timed out
0.sledgehammer goal.by        59777ms Prime_Number_Theorem.Prime_Number_Theorem_Library 846:36878  timeout (SH 59775ms): Timed out
0.sledgehammer goal.by        171078ms Prime_Number_Theorem.Prime_Number_Theorem_Library 849:37023  timeout (SH 171075ms):
0.sledgehammer goal.by        51723ms Prime_Number_Theorem.Prime_Number_Theorem_Library 852:37189  some (SH 51722ms, ATP 2400ms): Try this: by (smt (cvc5, trigger_max) assms(1)[of "real (Suc _)"] of_nat_0_le_iff[of "Suc _"] suminf_ennreal2[of "\<lambda>R. f (real (Suc R))"]) (93 ms)
0.sledgehammer goal.by        41165ms Prime_Number_Theorem.Prime_Number_Theorem_Library 853:37286  some (SH 41164ms, ATP 4980ms): Try this: by (smt (cvc5, fmf) \<open>0 \<le> I\<close> ennreal_le_iff) (482 ms)
0.sledgehammer goal.proof     40776ms Prime_Number_Theorem.Prime_Number_Theorem_Library 862:37581  timeout (SH 40774ms): Timed out
0.sledgehammer goal.using     39919ms Prime_Number_Theorem.Prime_Number_Theorem_Library 864:37636  timeout (SH 39914ms): Timed out
0.sledgehammer goal.by        18149ms Prime_Number_Theorem.Prime_Number_Theorem_Library 864:37679  some (SH 18147ms, ATP 912ms): Try this: by (smt (cvc5, best)) (2.4 s)
0.sledgehammer goal.by        41412ms Prime_Number_Theorem.Prime_Number_Theorem_Library 865:37738  timeout (SH 41410ms): Timed out
0.sledgehammer goal.by        73585ms Prime_Number_Theorem.Prime_Number_Theorem_Library 866:37808  some (SH 73582ms, ATP 2584ms): Try this: by (smt (cvc5, best) assms(1,2,3) decreasing_sum_le_integral(2)[of f I]) (682 ms)
0.sledgehammer goal.using     42818ms Prime_Number_Theorem.Prime_Number_Theorem_Library 868:37899  timeout (SH 42815ms): Timed out
0.sledgehammer goal.by        40772ms Prime_Number_Theorem.Prime_Number_Theorem_Library 868:37907  timeout (SH 40770ms): Timed out
