0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = [], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 30.000, try0 = true, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.by         3410ms Ordered_Resolution_Prover.Ground_Resolution_Model 325:11674  some (SH 3410ms, ATP 401ms): Try this: by blast (3 ms)
0.sledgehammer goal.using     32953ms Ordered_Resolution_Prover.Ground_Resolution_Model 327:11716  some (SH 32953ms, ATP 496ms): Try this: by (metis Interp_def UnI1 a_at_d in_mono insertCI less_imp_production_subseteq_interp linorder_not_less prod_c') (43 ms)
0.sledgehammer goal.by        15776ms Ordered_Resolution_Prover.Ground_Resolution_Model 327:11745  some (SH 15776ms, ATP 660ms): Try this: by (metis in_mono insertCI interp_subseteq_Interp less_imp_production_subseteq_interp linorder_not_less) (87 ms)
0.sledgehammer goal.using      3738ms Ordered_Resolution_Prover.Ground_Resolution_Model 329:11837  some (SH 3738ms, ATP 363ms): Try this: using d'_le_d by order (1 ms)
0.sledgehammer goal.by         2987ms Ordered_Resolution_Prover.Ground_Resolution_Model 329:11863  some (SH 2987ms, ATP 356ms): Try this: by order (2 ms)
0.sledgehammer goal.using      9399ms Ordered_Resolution_Prover.Ground_Resolution_Model 331:11923  some (SH 9399ms, ATP 545ms): Try this: by (metis a_in_d' le_multiset_Max_in_imp_Max max_c' pos_lit_in_atms_of) (44 ms)
0.sledgehammer goal.by         6414ms Ordered_Resolution_Prover.Ground_Resolution_Model 331:11944  some (SH 6414ms, ATP 497ms): Try this: by (meson le_multiset_Max_in_imp_Max pos_lit_in_atms_of) (27 ms)
0.sledgehammer goal.using     10797ms Ordered_Resolution_Prover.Ground_Resolution_Model 336:12090  some (SH 10797ms, ATP 372ms): Try this: using a_in_d' max_atm_imp_Interp max_d' by blast (1 ms)
0.sledgehammer goal.by         3656ms Ordered_Resolution_Prover.Ground_Resolution_Model 336:12111  some (SH 3656ms, ATP 375ms): Try this: by (simp add: max_atm_imp_Interp) (4 ms)
0.sledgehammer goal.using      7481ms Ordered_Resolution_Prover.Ground_Resolution_Model 338:12188  some (SH 7481ms, ATP 616ms): Try this: by (metis Interp_as_UNION Interp_imp_general d'_le_d interp_subseteq_Interp order_le_imp_less_or_eq order_refl) (116 ms)
0.sledgehammer goal.by         6706ms Ordered_Resolution_Prover.Ground_Resolution_Model 338:12202  some (SH 6706ms, ATP 477ms): Try this: by (metis Interp_as_UNION Interp_imp_general interp_subseteq_Interp order_le_imp_less_or_eq order_refl) (108 ms)
0.sledgehammer goal.using      3283ms Ordered_Resolution_Prover.Ground_Resolution_Model 340:12294  some (SH 3283ms, ATP 297ms): Try this: by (simp add: d'_at_d) (1 ms)
0.sledgehammer goal.by         2971ms Ordered_Resolution_Prover.Ground_Resolution_Model 340:12308  some (SH 2971ms, ATP 396ms): Try this: by blast (0.2 ms)
0.sledgehammer goal.using     23187ms Ordered_Resolution_Prover.Ground_Resolution_Model 346:12421  some (SH 23187ms, ATP 1582ms): Try this: by (metis (no_types, lifting) count_greater_zero_iff count_inI cvc_arith_rewrite_defs(5) d'_le_d empty_iff leq_dc' less_eq_Max_atms_of less_multiset\<^sub>H\<^sub>O linorder_neq_iff max_c' max_d' set_mset_empty) (77 ms)
0.sledgehammer goal.by        22483ms Ordered_Resolution_Prover.Ground_Resolution_Model 347:12465  some (SH 22483ms, ATP 459ms): Try this: by (metis less_eq_Max_atms_of less_eq_multiset_empty_right linorder_neq_iff linorder_not_less) (47 ms)
0.sledgehammer goal.using      3238ms Ordered_Resolution_Prover.Ground_Resolution_Model 350:12594  some (SH 3238ms, ATP 300ms): Try this: using in_n_or_max_gt by blast (1 ms)
0.sledgehammer goal.by         2913ms Ordered_Resolution_Prover.Ground_Resolution_Model 350:12615  some (SH 2913ms, ATP 331ms): Try this: by blast (0.6 ms)
0.sledgehammer goal.by         4708ms Ordered_Resolution_Prover.Ground_Resolution_Model 353:12651  some (SH 4708ms, ATP 320ms): Try this: by blast (0.5 ms)
0.sledgehammer goal.using     84749ms Ordered_Resolution_Prover.Ground_Resolution_Model 359:12816  some (SH 84749ms, ATP 463ms): Try this: by (smt (z3) INTERP_def interp_imp_INTERP interp_subseteq_INTERP not_Interp_imp_general order_less_imp_le order_trans) (458 ms)
0.sledgehammer goal.by        12255ms Ordered_Resolution_Prover.Ground_Resolution_Model 359:12856  some (SH 12255ms, ATP 469ms): Try this: by force (53 ms)
0.sledgehammer goal.using     86443ms Ordered_Resolution_Prover.Ground_Resolution_Model 364:13017  some (SH 86443ms, ATP 452ms): Try this: by (metis Interp_as_UNION interp_subseteq_Interp not_Interp_imp_general) (69 ms)
0.sledgehammer goal.by         6092ms Ordered_Resolution_Prover.Ground_Resolution_Model 364:13085  some (SH 6092ms, ATP 456ms): Try this: by metis (242 ms)
0.sledgehammer goal.using     30113ms Ordered_Resolution_Prover.Ground_Resolution_Model 369:13237  timeout (SH 30113ms): Timed out
0.sledgehammer goal.by        26167ms Ordered_Resolution_Prover.Ground_Resolution_Model 370:13336  some (SH 26166ms, ATP 1876ms): Try this: by presburger (16 ms)
0.sledgehammer goal.using      4865ms Ordered_Resolution_Prover.Ground_Resolution_Model 385:13779  some (SH 4865ms, ATP 374ms): Try this: using n apply blast (0.3 ms)
0.sledgehammer goal.unfolding  3217ms Ordered_Resolution_Prover.Ground_Resolution_Model 385:13787  some (SH 3217ms, ATP 377ms): Try this: apply simp (1 ms)
0.sledgehammer goal.by         3540ms Ordered_Resolution_Prover.Ground_Resolution_Model 385:13812  some (SH 3540ms, ATP 355ms): Try this: apply force (0.4 ms)
0.sledgehammer finalize   Total number of sledgehammer calls: 163
0.sledgehammer finalize   Number of successful sledgehammer calls: 156
0.sledgehammer finalize   Number of sledgehammer lemmas: 613
0.sledgehammer finalize   Max number of sledgehammer lemmas: 13
0.sledgehammer finalize   Success rate: 95.7%
0.sledgehammer finalize   Total number of nontrivial sledgehammer calls: 163
0.sledgehammer finalize   Number of successful nontrivial sledgehammer calls: 156
0.sledgehammer finalize   Total time for sledgehammer calls (Isabelle): 2720.392
0.sledgehammer finalize   Total time for successful sledgehammer calls (ATP): 79.530
0.sledgehammer finalize   Average time for sledgehammer calls (Isabelle): 16.690
0.sledgehammer finalize   Average time for successful sledgehammer calls (ATP): 0.510
